id,Crop Code,Crop,2000 Yield,2001 Yield,2002 Yield,2003 Yield,2004 Yield,2005 Yield,2006 Yield,2007 Yield,2008 Yield,2009 Yield,2010 Yield,2011 Yield,2012 Yield,2013 Yield,2014 Yield,2015 Yield,2016 Yield,2017 Yield,2018 Yield
13,89.0,Buckwheat,10000.0,10043.0,10055.0,10068.0,10079.0,10091.0,10000.0,10000.0,10000.0,10155.0,10223.0,10289.0,10446.0,10452.0,10641.0,10508.0,10439.0,10484.0,10511.0
14,358.0,Cabbages and other brassicas,236503.0,237301.0,235942.0,237126.0,370543.0,367152.0,390839.0,326131.0,417735.0,387098.0,392543.0,384062.0,389704.0,409871.0,397237.0,379913.0,438013.0,440682.0,403413.0
15,426.0,Carrots and turnips,385621.0,392609.0,381052.0,408618.0,412288.0,421108.0,400140.0,380711.0,407574.0,397254.0,421786.0,383489.0,403675.0,414078.0,416365.0,414167.0,459075.0,457741.0,463819.0
16,393.0,Cauliflowers and broccoli,164039.0,162531.0,160836.0,170924.0,172052.0,172853.0,171205.0,173861.0,183158.0,184247.0,175286.0,174120.0,187387.0,186590.0,187164.0,197298.0,193669.0,189327.0,188649.0
17,531.0,Cherries,74418.0,75841.0,55911.0,54648.0,81076.0,71041.0,80955.0,85281.0,67325.0,116380.0,82575.0,87353.0,110022.0,82627.0,90868.0,84447.0,86902.0,108960.0,90828.0
18,530.0,"Cherries, sour",79088.0,88200.0,18611.0,68640.0,64612.0,81800.0,79486.0,81668.0,69153.0,113248.0,59863.0,72137.0,25602.0,86435.0,90085.0,74410.0,96085.0,79590.0,94988.0
19,191.0,Chick peas,14213.0,14061.0,13023.0,11290.0,15314.0,13780.0,12980.0,13999.0,15263.0,17237.0,15082.0,18350.0,18103.0,18249.0,14839.0,13924.0,19079.0,12946.0,16946.0
20,689.0,"Chillies and peppers, green",240387.0,244742.0,256048.0,278314.0,291076.0,264790.0,303407.0,283790.0,296524.0,307805.0,308284.0,330588.0,340184.0,322513.0,358062.0,350849.0,338497.0,341374.0,323564.0
21,656.0,"Coffee, green",14353.0,14235.0,14226.0,15732.0,10822.0,15063.0,12984.0,13127.0,15490.0,15490.0,15647.0,13518.0,12859.0,9569.0,9068.0,8566.0,6926.0,7560.0,7646.0
22,195.0,"Cow peas, dry",17459.0,17478.0,17498.0,17518.0,17544.0,17578.0,17600.0,16403.0,15073.0,19035.0,20052.0,16212.0,18658.0,18459.0,17903.0,17991.0,18162.0,17007.0,19862.0
23,554.0,Cranberries,172109.0,167811.0,161866.0,176629.0,177465.0,181280.0,200594.0,192801.0,230801.0,201264.0,198212.0,224575.0,223751.0,239059.0,231904.0,234661.0,260029.0,235801.0,254577.0
24,397.0,Cucumbers and gherkins,174305.0,161562.0,159607.0,153042.0,152224.0,146058.0,147388.0,150889.0,157694.0,158187.0,164708.0,154322.0,162235.0,158786.0,162005.0,158717.0,169262.0,180875.0,156154.0
25,577.0,Dates,81240.0,90126.0,113048.0,77182.0,70099.0,68803.0,70581.0,68937.0,82185.0,79307.0,84429.0,90500.0,79228.0,83391.0,74870.0,85666.0,68047.0,72467.0,70251.0
26,399.0,Eggplants (aubergines),334589.0,287009.0,290476.0,311848.0,323372.0,350214.0,336566.0,340909.0,342954.0,349660.0,357028.0,363183.0,369337.0,375491.0,379021.0,385513.0,389764.0,394460.0,399155.0
27,569.0,Figs,81374.0,62957.0,88340.0,83630.0,89492.0,86164.0,81285.0,117738.0,103260.0,105444.0,106647.0,100782.0,106013.0,105672.0,106954.0,111042.0,112776.0,109266.0,112675.0
28,512.0,"Fruit, citrus nes",560494.0,223457.0,112346.0,350000.0,414967.0,223855.0,286858.0,228212.0,293203.0,224211.0,195557.0,201176.0,285171.0,258701.0,249053.0,224959.0,161683.0,199644.0,217280.0
29,619.0,"Fruit, fresh nes",217535.0,282794.0,199327.0,144112.0,184109.0,148760.0,223800.0,288986.0,244308.0,173273.0,125532.0,191556.0,216887.0,249500.0,192750.0,162698.0,193641.0,192594.0,192407.0
30,406.0,Garlic,179794.0,187067.0,193127.0,199922.0,185270.0,178851.0,187849.0,185408.0,188573.0,195444.0,183989.0,187318.0,186581.0,181386.0,182191.0,181824.0,168128.0,173738.0,196143.0
31,720.0,Ginger,561743.0,559247.0,502462.0,418769.0,446230.0,472041.0,487500.0,396875.0,340000.0,340000.0,348129.0,370488.0,353458.0,342519.0,340295.0,344258.0,336587.0,331013.0,325438.0
32,507.0,Grapefruit (inc. pomelos),402060.0,380104.0,395771.0,359894.0,422759.0,221556.0,303495.0,423254.0,416082.0,363577.0,364204.0,380844.0,416681.0,378007.0,337702.0,303062.0,280829.0,259088.0,277845.0
33,560.0,Grapes,182076.0,157930.0,173185.0,152971.0,149911.0,187367.0,151798.0,168929.0,175305.0,173381.0,175944.0,173894.0,165831.0,185714.0,170855.0,168279.0,170904.0,165889.0,181729.0
34,242.0,"Groundnuts, with shell",27396.0,33951.0,28702.0,35404.0,34479.0,33507.0,32211.0,35085.0,38396.0,38348.0,37124.0,37948.0,47195.0,44846.0,43975.0,44423.0,40730.0,44916.0,44732.0
35,225.0,"Hazelnuts, with shell",17790.0,38267.0,14970.0,30342.0,29600.0,21862.0,32476.0,29003.0,25259.0,36713.0,21644.0,30282.0,30249.0,33624.0,26900.0,20440.0,26659.0,17934.0,25986.0
36,677.0,Hops,20970.0,20859.0,22309.0,21333.0,22303.0,20131.0,22012.0,21848.0,22097.0,26712.0,23462.0,24377.0,21502.0,21996.0,20934.0,20254.0,19205.0,21927.0,21773.0
37,592.0,Kiwi fruit,143795.0,118033.0,130027.0,119561.0,133015.0,185321.0,131118.0,130741.0,122735.0,136612.0,174500.0,201182.0,197729.0,158669.0,155847.0,120000.0,171133.0,171236.0,217300.0
38,497.0,Lemons and limes,292417.0,344637.0,278232.0,372160.0,299146.0,333383.0,367257.0,295676.0,235194.0,346520.0,346875.0,371599.0,417334.0,378599.0,340184.0,366443.0,371759.0,365849.0,369910.0
39,201.0,Lentils,15865.0,16488.0,13403.0,11549.0,14247.0,13396.0,8934.0,13868.0,10277.0,16134.0,15305.0,12905.0,13206.0,16212.0,14914.0,12424.0,15846.0,8206.0,13126.0
40,372.0,Lettuce and chicory,385358.0,371322.0,378198.0,366719.0,377442.0,376137.0,357129.0,360571.0,356314.0,363475.0,386480.0,387191.0,364587.0,343951.0,353519.0,359216.0,365324.0,342427.0,314215.0
41,333.0,Linseed,13027.0,12439.0,10592.0,11225.0,12735.0,12945.0,9017.0,10604.0,10552.0,14838.0,13598.0,20252.0,10831.0,12247.0,13234.0,13895.0,15905.0,9499.0,15168.0
42,56.0,Maize,85911.0,86733.0,81180.0,89246.0,100637.0,92852.0,93577.0,94585.0,96209.0,103181.0,95757.0,92146.0,77270.0,99256.0,107326.0,105723.0,117433.0,118754.0,118639.0
43,446.0,"Maize, green",153312.0,155808.0,159141.0,168153.0,162157.0,170302.0,174297.0,172115.0,161455.0,170122.0,159927.0,159815.0,168946.0,164202.0,162780.0,216208.0,170175.0,182562.0,173609.0
44,571.0,"Mangoes, mangosteens, guavas",43478.0,45897.0,43726.0,43333.0,43077.0,48111.0,50209.0,44000.0,42857.0,41435.0,125532.0,191556.0,198760.0,246420.0,201481.0,194476.0,194455.0,193319.0,192376.0
45,568.0,Melons,230769.0,254268.0,270013.0,280756.0,279022.0,259522.0,247208.0,301453.0,289672.0,285961.0,280314.0,291536.0,282059.0,293910.0,267697.0,291944.0,300469.0,280914.0,285087.0
46,79.0,Millet,11087.0,18590.0,7475.0,10350.0,14190.0,14875.0,12028.0,18214.0,18128.0,18769.0,17809.0,15169.0,8406.0,16194.0,17572.0,18983.0,20448.0,24846.0,20010.0
47,292.0,Mustard seed,9581.0,10424.0,7339.0,8105.0,9184.0,8824.0,8069.0,6818.0,6467.0,11112.0,9753.0,8050.0,7041.0,9487.0,10420.0,7523.0,10989.0,6957.0,8401.0
48,234.0,Nuts nes,26189.0,25941.0,25628.0,26215.0,25871.0,25766.0,25082.0,25565.0,25625.0,23219.0,21893.0,20978.0,21096.0,19542.0,21627.0,14899.0,7652.0,8441.0,7307.0
49,75.0,Oats,23011.0,22072.0,20217.0,23327.0,23221.0,22598.0,21447.0,21566.0,22842.0,24369.0,23172.0,20547.0,21944.0,22978.0,24338.0,25168.0,23677.0,22120.0,23274.0
50,430.0,Okra,76410.0,67295.0,66667.0,71163.0,72978.0,75896.0,75352.0,76923.0,75899.0,75905.0,77155.0,77791.0,78428.0,79064.0,78783.0,79087.0,77768.0,78003.0,78239.0
51,260.0,Olives,49808.0,83432.0,64136.0,73473.0,75248.0,99475.0,36158.0,99003.0,49914.0,33482.0,128272.0,38461.0,81517.0,93033.0,57559.0,111455.0,99927.0,119732.0,88069.0
52,403.0,"Onions, dry",483746.0,469287.0,481101.0,495115.0,550438.0,498664.0,492705.0,557626.0,548514.0,560952.0,552620.0,562600.0,545582.0,544622.0,559495.0,631237.0,635033.0,609542.0,623348.0
53,490.0,Oranges,358412.0,336227.0,348740.0,326896.0,378130.0,281184.0,359361.0,252366.0,340633.0,311781.0,287467.0,317467.0,336472.0,305243.0,256368.0,247290.0,247510.0,215247.0,234238.0
54,600.0,Papayas,370749.0,316198.0,299784.0,305261.0,324780.0,249082.0,202844.0,285849.0,273118.0,266604.0,250055.0,246635.0,230150.0,208688.0,176359.0,204745.0,316714.0,287640.0,145586.0
55,534.0,Peaches and nectarines,182838.0,180159.0,192173.0,182040.0,193905.0,181212.0,163313.0,200447.0,206215.0,198961.0,211032.0,207113.0,201620.0,190426.0,189712.0,189487.0,190715.0,173375.0,195547.0
56,521.0,Pears,322147.0,353881.0,311184.0,324456.0,311739.0,304807.0,315017.0,336766.0,332635.0,376450.0,325693.0,397950.0,384011.0,396419.0,378134.0,375837.0,365599.0,364145.0,389998.0
57,187.0,"Peas, dry",22124.0,21933.0,18558.0,17749.0,25204.0,20492.0,16738.0,22501.0,16231.0,22924.0,22405.0,18392.0,19842.0,21967.0,21376.0,18915.0,23382.0,15131.0,22099.0
58,417.0,"Peas, green",107141.0,103569.0,92393.0,112919.0,107688.0,100383.0,114841.0,120939.0,44021.0,48205.0,44890.0,50167.0,46938.0,44762.0,43359.0,87407.0,49661.0,50256.0,43361.0
59,574.0,Pineapples,383365.0,360243.0,375551.0,420318.0,379359.0,339433.0,303202.0,301754.0,313043.0,344828.0,323586.0,308772.0,300000.0,286667.0,282258.0,281901.0,283028.0,279471.0,276305.0
60,223.0,Pistachios,36497.0,23136.0,40917.0,15159.0,41821.0,30210.0,24251.0,40546.0,26407.0,31580.0,42707.0,32527.0,37404.0,25951.0,26068.0,12988.0,42044.0,26914.0,41905.0
61,536.0,Plums and sloes,148035.0,107522.0,139337.0,157885.0,67360.0,102209.0,176911.0,92362.0,127926.0,150728.0,138507.0,167205.0,162935.0,115526.0,147853.0,159809.0,99164.0,165671.0,141323.0
