id,State Name,Code Name,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution,State Flag,State Seal,Map,Landscape Background,Skyline Background,Area,Median Household Income,Percent in Poverty,Percent of Adult College Graduates
22,Michigan,MI,Wolverine State / Great Lakes State,http://www.michigan.gov,1837.0,26.0,Lansing,http://cityoflansingmi.com,9895622.0,9.0,http://www.legislature.mi.gov/(S(hrowl12tg05hemnnkidim1jb))/mileg.aspx?page=GetObject&objectname=mcl-Constitution,https://cdn.civil.services/us-states/flags/michigan-large.png,https://cdn.civil.services/us-states/seals/michigan-large.png,https://cdn.civil.services/us-states/maps/michigan-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/michigan.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/michigan.jpg,96714.0,52668.0,11.0,28.1
23,Minnesota,MN,"North Star State / Land of 10,000 Lakes",https://mn.gov,1858.0,32.0,Saint Paul,http://www.stpaul.gov,5420380.0,21.0,http://www.house.leg.state.mn.us/cco/rules/mncon/preamble.htm,https://cdn.civil.services/us-states/flags/minnesota-large.png,https://cdn.civil.services/us-states/seals/minnesota-large.png,https://cdn.civil.services/us-states/maps/minnesota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/minnesota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/minnesota.jpg,86936.0,65699.0,8.7,34.8
24,Mississippi,MS,Magnolia State,http://www.ms.gov,1817.0,20.0,Jackson,http://www.city.jackson.ms.us,2991207.0,31.0,http://law.justia.com/constitution/mississippi,https://cdn.civil.services/us-states/flags/mississippi-large.png,https://cdn.civil.services/us-states/seals/mississippi-large.png,https://cdn.civil.services/us-states/maps/mississippi-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/mississippi.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/mississippi.jpg,48432.0,42009.0,19.8,21.3
25,Missouri,MO,Show Me State,https://www.mo.gov,1821.0,24.0,Jefferson City,http://www.jeffcitymo.org,6044171.0,18.0,http://www.moga.mo.gov/mostatutes/moconstn.html,https://cdn.civil.services/us-states/flags/missouri-large.png,https://cdn.civil.services/us-states/seals/missouri-large.png,https://cdn.civil.services/us-states/maps/missouri-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/missouri.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/missouri.jpg,69707.0,51542.0,11.9,28.2
26,Montana,MT,Treasure State,http://mt.gov,1889.0,41.0,Helena,http://www.ci.helena.mt.us,1015165.0,44.0,http://courts.mt.gov/content/library/docs/72constit.pdf,https://cdn.civil.services/us-states/flags/montana-large.png,https://cdn.civil.services/us-states/seals/montana-large.png,https://cdn.civil.services/us-states/maps/montana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/montana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/montana.jpg,147040.0,50801.0,10.4,30.7
27,Nebraska,NE,Cornhusker State,http://www.nebraska.gov,1867.0,37.0,Lincoln,http://lincoln.ne.gov,1868516.0,37.0,http://www.state.ne.us/legislative/statutes/C,https://cdn.civil.services/us-states/flags/nebraska-large.png,https://cdn.civil.services/us-states/seals/nebraska-large.png,https://cdn.civil.services/us-states/maps/nebraska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nebraska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nebraska.jpg,77348.0,56675.0,10.4,30.6
28,Nevada,NV,The Silver State,http://nv.gov,1864.0,36.0,Carson City,http://www.carson.org,2790136.0,35.0,http://www.leg.state.nv.us/Const/NvConst.html,https://cdn.civil.services/us-states/flags/nevada-large.png,https://cdn.civil.services/us-states/seals/nevada-large.png,https://cdn.civil.services/us-states/maps/nevada-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nevada.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nevada.jpg,110572.0,55434.0,12.2,23.7
29,New Hampshire,NH,Granite State,https://www.nh.gov,1788.0,9.0,Concord,http://www.concordnh.gov,1323459.0,42.0,http://www.state.nh.us/constitution/constitution.html,https://cdn.civil.services/us-states/flags/new-hampshire-large.png,https://cdn.civil.services/us-states/seals/new-hampshire-large.png,https://cdn.civil.services/us-states/maps/new-hampshire-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-hampshire.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-hampshire.jpg,9349.0,71305.0,6.4,36.0
30,New Jersey,NJ,Garden State,http://www.state.nj.us,1787.0,3.0,Trenton,http://www.trentonnj.org,8899339.0,11.0,http://www.njleg.state.nj.us/lawsconstitution/consearch.asp,https://cdn.civil.services/us-states/flags/new-jersey-large.png,https://cdn.civil.services/us-states/seals/new-jersey-large.png,https://cdn.civil.services/us-states/maps/new-jersey-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-jersey.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-jersey.jpg,8723.0,76475.0,9.1,38.1
31,New Mexico,NM,Land of Enchantment,http://www.newmexico.gov,1912.0,47.0,Santa Fe,http://www.santafenm.gov,2085287.0,36.0,http://www.loc.gov/law/guide/us-nm.html,https://cdn.civil.services/us-states/flags/new-mexico-large.png,https://cdn.civil.services/us-states/seals/new-mexico-large.png,https://cdn.civil.services/us-states/maps/new-mexico-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-mexico.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-mexico.jpg,121590.0,46718.0,18.7,26.9
32,New York,NY,Empire State,http://www.ny.gov,1788.0,11.0,Albany,http://www.albanyny.org,19651127.0,3.0,https://www.dos.ny.gov/info/constitution.htm,https://cdn.civil.services/us-states/flags/new-york-large.png,https://cdn.civil.services/us-states/seals/new-york-large.png,https://cdn.civil.services/us-states/maps/new-york-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-york.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-york.jpg,54555.0,62765.0,11.8,35.3
33,North Carolina,NC,Old North State / Tar Heel State,http://www.nc.gov,1789.0,12.0,Raleigh,http://www.raleigh-nc.org,9848060.0,10.0,http://statelibrary.dcr.state.nc.us/nc/stgovt/preconst.htm,https://cdn.civil.services/us-states/flags/north-carolina-large.png,https://cdn.civil.services/us-states/seals/north-carolina-large.png,https://cdn.civil.services/us-states/maps/north-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-carolina.jpg,53819.0,50320.0,14.1,29.9
34,North Dakota,ND,Peace Garden State / Flickertail State / Roughrider State,http://www.nd.gov,1889.0,39.0,Bismarck,http://www.bismarck.org,723393.0,48.0,http://www.legis.nd.gov/information/statutes/const-laws.html,https://cdn.civil.services/us-states/flags/north-dakota-large.png,https://cdn.civil.services/us-states/seals/north-dakota-large.png,https://cdn.civil.services/us-states/maps/north-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-dakota.jpg,70698.0,61285.0,10.9,28.9
35,Ohio,OH,Buckeye State,https://ohio.gov,1803.0,17.0,Columbus,http://ci.columbus.oh.us,11570808.0,7.0,http://www.legislature.state.oh.us/constitution.cfm,https://cdn.civil.services/us-states/flags/ohio-large.png,https://cdn.civil.services/us-states/seals/ohio-large.png,https://cdn.civil.services/us-states/maps/ohio-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/ohio.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/ohio.jpg,44826.0,52407.0,12.8,27.2
36,Oklahoma,OK,Sooner State,https://www.ok.gov,1907.0,46.0,Oklahoma City,http://www.okc.gov,3850568.0,28.0,http://oklegal.onenet.net/okcon,https://cdn.civil.services/us-states/flags/oklahoma-large.png,https://cdn.civil.services/us-states/seals/oklahoma-large.png,https://cdn.civil.services/us-states/maps/oklahoma-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oklahoma.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oklahoma.jpg,69899.0,49767.0,14.0,24.8
