id,Trip Length in Seconds,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
126,505.0,3:33:57 AM,3:42:23 AM,377.0,Perry Park,42.38,-71.1,77.0,Somerville City Hall,42.39,-71.1,5900.0,Subscriber,1982.0,Male
127,1244.0,3:34:50 AM,3:55:34 AM,380.0,Mass Ave at Albany St,42.36,-71.1,145.0,Rindge Avenue - O'Neill Library,42.39,-71.13,5635.0,Subscriber,1994.0,Male
128,428.0,3:34:58 AM,3:42:06 AM,23.0,Boston City Hall - 28 State St,42.36,-71.06,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,3029.0,Customer,1969.0,Not Specified
129,1057.0,3:35:26 AM,3:53:03 AM,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,380.0,Mass Ave at Albany St,42.36,-71.1,2222.0,Subscriber,1997.0,Male
130,1122.0,3:35:29 AM,3:54:12 AM,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,380.0,Mass Ave at Albany St,42.36,-71.1,5569.0,Subscriber,1996.0,Female
131,354.0,3:40:33 AM,3:46:27 AM,180.0,Mt Auburn,42.37,-71.13,97.0,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.37,-71.12,5973.0,Subscriber,1992.0,Male
132,957.0,3:43:02 AM,3:58:59 AM,4.0,Tremont St at E Berkeley St,42.35,-71.07,19.0,Park Dr at Buswell St,42.35,-71.11,5835.0,Subscriber,1996.0,Female
133,897.0,3:43:10 AM,3:58:07 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,98.0,Warren St at Chelsea St,42.37,-71.06,4148.0,Subscriber,1994.0,Male
134,947.0,3:43:15 AM,3:59:03 AM,372.0,Boylston St at Exeter St,42.35,-71.08,9.0,Commonwealth Ave at Agganis Way,42.35,-71.12,3587.0,Subscriber,2000.0,Male
135,1320.0,3:43:46 AM,4:05:46 AM,190.0,Nashua Street at Red Auerbach Way,42.37,-71.06,331.0,Huntington Ave at Mass Art,42.34,-71.1,2579.0,Subscriber,1994.0,Male
136,495.0,3:46:58 AM,3:55:13 AM,4.0,Tremont St at E Berkeley St,42.35,-71.07,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,3831.0,Subscriber,1993.0,Male
137,2245.0,3:50:28 AM,4:27:53 AM,338.0,Commonwealth Ave at Kelton St,42.35,-71.14,390.0,Broadway at Lynde St,42.4,-71.07,2542.0,Subscriber,1950.0,Female
138,5095.0,3:55:45 AM,5:20:40 AM,390.0,Broadway at Lynde St,42.4,-71.07,296.0,Farragut Rd at E. 6th St,42.33,-71.02,3530.0,Customer,1995.0,Male
139,5046.0,3:56:01 AM,5:20:07 AM,390.0,Broadway at Lynde St,42.4,-71.07,296.0,Farragut Rd at E. 6th St,42.33,-71.02,2836.0,Customer,1995.0,Male
140,629.0,4:05:41 AM,4:16:11 AM,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,23.0,Boston City Hall - 28 State St,42.36,-71.06,3029.0,Customer,1969.0,Not Specified
141,900.0,4:06:48 AM,4:21:49 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,372.0,Boylston St at Exeter St,42.35,-71.08,2663.0,Subscriber,1990.0,Male
142,177.0,4:14:37 AM,4:17:35 AM,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,3889.0,Subscriber,1994.0,Male
143,1316.0,4:48:19 AM,5:10:16 AM,190.0,Nashua Street at Red Auerbach Way,42.37,-71.06,95.0,Cambridge St - at Columbia St / Webster Ave,42.37,-71.09,2058.0,Subscriber,1993.0,Male
144,350.0,5:42:21 AM,5:48:11 AM,69.0,Coolidge Corner - Beacon St at Centre St,42.34,-71.12,11.0,Longwood Ave at Binney St,42.34,-71.11,4489.0,Subscriber,1989.0,Male
145,803.0,5:48:33 AM,6:01:56 AM,115.0,Porter Square Station,42.39,-71.12,189.0,Kendall T,42.36,-71.08,2748.0,Subscriber,1988.0,Male
146,728.0,5:57:41 AM,6:09:50 AM,218.0,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.35,-71.05,49.0,Stuart St at Charles St,42.35,-71.07,2045.0,Customer,1998.0,Male
