id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1642,St. Martin's,Jackie Collins,1466848901.0,7/5/15,THE SANTANGELOS,0.0
1643,Morrow/HarperCollins,Dorothea Benton Frank,62132563.0,7/5/15,ALL THE SINGLE LADIES,0.0
1644,St. Martin's,Barbara Delinsky,None,6/28/15,BLUEPRINTS,0.0
1645,Loveswept,Sawyer Bennett,1101886773.0,6/28/15,ZACK,0.0
1646,Putnam,Clive Cussler and Boyd Morrison,NA,6/28/15,PIRANHA,0.0
1647,Putnam,John Sandford,None,6/21/15,GATHERING PREY,0.0
1648,Bantam,Janet Evanovich,345542932.0,6/21/15,TOP SECRET TWENTY-ONE,0.0
1649,Scribner,Jason Matthews,1476793751.0,6/21/15,PALACE OF TREASON,0.0
1650,NAL,Samantha Young,None,6/21/15,MOONLIGHT ON NIGHTINGALE WAY,0.0
1651,7th House,Gennita Low,None,6/14/15,SUMMER FIRE,0.0
1652,Touchstone,Philippa Gregory,1416563911.0,6/14/15,THE WHITE QUEEN,0.0
1653,Morrow/HarperCollins,Neal Stephenson,62190377.0,6/14/15,SEVENEVES,0.0
1654,St. Martin's,Sherrilyn Kenyon,None,5/31/15,BORN OF DEFIANCE,0.0
1655,Morrow/HarperCollins,Greg Iles,006231114X,5/31/15,THE BONE TREE,0.0
1656,J. S. Cooper,J S Cooper and Helen Cooper,None,5/31/15,FALLING FOR MY BOSS,0.0
1657,"Little, Brown",Kate Atkinson,031634155X,5/31/15,A GOD IN RUINS,0.0
1658,Helena Hunting,Helena Hunting,None,5/24/15,PUCKED,0.0
1659,St. Martin's,Lisa Scottoline,None,5/24/15,EVERY FIFTEEN MINUTES,0.0
1660,Ballantine,Jodi Picoult,345544943.0,5/24/15,LEAVING TIME,0.0
1661,Ace,Charlaine Harris,None,5/24/15,DAY SHIFT,0.0
1662,Knopf,Toni Morrison,307594173.0,5/17/15,GOD HELP THE CHILD,0.0
1663,ERH Press,Jessica Wood,1940285127.0,5/17/15,PROMISE OF FOREVER,0.0
1664,Spiegel & Grau,Sara Gruen,812997891.0,5/17/15,AT THE WATER'S EDGE,0.0
1665,"Little, Brown",Donna Tartt,316055441.0,5/10/15,THE GOLDFINCH,0.0
1666,"Little, Brown",James Patterson and Marshall Karp,316284564.0,5/10/15,NYPD RED 3,0.0
1667,HTJB,M S Force,194229509X,5/10/15,VALOROUS,0.0
1668,Knopf,Anne Tyler,1101874287.0,5/3/15,A SPOOL OF BLUE THREAD,0.0
1669,St. Martin's Press,J R Ward,1466867833.0,5/3/15,THE STORY OF SON,0.0
1670,HTJB,M S Force,1942295081.0,5/3/15,VIRTUOUS,0.0
1671,Ballantine,Tess Gerritsen,345495306.0,5/3/15,THE MEPHISTO CLUB,0.0
1672,Howard,Karen Kingsbury,None,4/26/15,CHASING SUNSETS,0.0
1673,"Little, Brown",James Patterson and Peter De Jonge,None,4/26/15,MIRACLE AT AUGUSTA,0.0
1674,Roc,Faith Hunter,None,4/26/15,DARK HEIR,0.0
1675,Liliana Hart,Liliana Hart,1940499194.0,4/19/15,CRAVE,0.0
1676,HQN,Lori Foster,None,4/19/15,HOLDING STRONG,0.0
