id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
2096,Knopf Doubleday Publishing,Stieg Larsson,307272303.0,5/6/12,THE GIRL WHO PLAYED WITH FIRE,0.0
2097,Random House Publishing,Danielle Steel,345532341.0,4/29/12,BETRAYAL,0.0
2098,Penguin Group,Nora Roberts,515150630.0,4/29/12,CHASING FIRE,0.0
2099,New American Library,J R Ward,None,4/22/12,LOVER REBORN,0.0
2100,Delacorte,Lee Child,044024630X,4/22/12,THE AFFAIR,0.0
2101,HarperCollins Publishers,Jacqueline Winspear,62049577.0,4/15/12,ELEGY FOR EDDIE,0.0
2102,HarperCollins Publishers,Kerrelyn Sparks,62096605.0,4/15/12,WANTED: UNDEAD OR ALIVE,0.0
2103,Atria Books,Jodi Picoult,1439149690.0,4/15/12,LONE WOLF,0.0
2104,Simon & Schuster,Lisa Lutz,1416539204.0,4/15/12,THE SPELLMAN FILES,0.0
2105,Random House Publishing,Jonathan Kellerman,345532171.0,4/8/12,VICTIMS,0.0
2106,Harlequin,Ron Carr,1459222776.0,4/8/12,REDWOOD BEND,0.0
2107,HarperCollins Publishers,Ted Bell,006209906X,4/8/12,PHANTOM,0.0
2108,Penguin Group,Clive Cussler and Justin Scott,NA,4/8/12,THE THIEF,0.0
2109,Scribner,Richard North Patterson,1451617089.0,4/8/12,FALL FROM GRACE,0.0
2110,Houghton Mifflin Harcourt,Jonathan Safran Foer,547416210.0,4/1/12,EXTREMELY LOUD AND INCREDIBLY CLOSE,0.0
2111,Kensington,Joanne Fluke,NA,3/18/12,CINNAMON ROLL MURDER,0.0
2112,St. Martin's Press,Susan Wilson,1429959304.0,3/18/12,ONE GOOD DOG,0.0
2113,Penguin Group,Alex Berenson,None,3/11/12,THE SHADOW PATROL,0.0
2114,Grand Central Publishing,James Patterson and Maxine Paetro,316097411.0,3/11/12,PRIVATE: #1 SUSPECT,0.0
2115,St. Martin’s Press,Kristin Hannah,1429942215.0,3/11/12,HOME FRONT,0.0
2116,Knopf Doubleday Publishing,Anne Rice,307595110.0,3/11/12,THE WOLF GIFT,0.0
2117,Catherine Bybee,Catherine Bybee,None,3/4/12,WIFE BY WEDNESDAY,0.0
2118,Harlequin,Sherryl Woods,None,2/26/12,THE SUMMER GARDEN,0.0
2119,Putnam,Robert Crais,NA,2/26/12,TAKEN,0.0
2120,Signet,Catherine Anderson,None,2/19/12,LUCKY PENNY,0.0
2121,Knopf Doubleday Publishing,P D James,307959856.0,2/19/12,DEATH COMES TO PEMBERLEY,0.0
2122,Pocket Books,Cindy Gerard,1451606869.0,2/19/12,LAST MAN STANDING,0.0
2123,Random House Publishing,Téa Obreht,385343841.0,2/19/12,THE TIGER'S WIFE,0.0
2124,HarperCollins Publishers,Elmore Leonard,62119486.0,2/12/12,RAYLAN,0.0
2125,St. Martin's Press,Iris Johansen,312651287.0,2/12/12,BONNIE,0.0
2126,Barbara Freethy,Barbara Freethy,None,2/12/12,GOLDEN LIES,0.0
2127,Penguin Group,Elizabeth George,525952586.0,2/5/12,BELIEVING THE LIE,0.0
2128,St. Martin’s Press,Janet Evanovich and Dorien Kelly,1429952512.0,1/29/12,LOVE IN A NUTSHELL,0.0
2129,Penguin Group,Tom Clancy with Mark Greaney,None,1/29/12,LOCKED ON,0.0
2130,Random House Publishing,Dean Koontz,345532368.0,1/22/12,77 SHADOW STREET,0.0
2131,Penguin Group,Tami Hoag,NA,1/15/12,DOWN THE DARKEST ROAD,0.0
2132,Penguin Group,Stuart Woods,None,1/8/12,D.C. DEAD,0.0
2133,Penguin Group,WEB Griffin and William E Butterworth IV,NA,1/8/12,COVERT WARRIORS,0.0
2134,"Little, Brown & Company",Chad Harbach,316126691.0,1/1/12,THE ART OF FIELDING,0.0
2135,HarperCollins Publishers,Michael Crichton and Richard Preston,60873027.0,1/1/12,MICRO,0.0
2136,Penguin Group,Barbara Freethy,None,12/25/11,ALL SHE EVER WANTED,0.0
2137,"Little, Brown & Company",James Patterson and Richard DiLallo,None,12/25/11,THE CHRISTMAS WEDDING,0.0
2138,Random House Publishing,Diana Gabaldon,385337515.0,12/25/11,THE SCOTTISH PRISONER,0.0
2139,Simon & Schuster,Stephen Hunter,1439149941.0,12/25/11,SOFT TARGET,0.0
2140,Harlequin,Diana Palmer,1459281969.0,12/18/11,TRUE BLUE AND CARRERA’S BRIDE,0.0
2141,Putnam,Clive Cussler and Graham Brown,399157824.0,12/11/11,DEVIL’S GATE,0.0
2142,Pocket Books,Sabrina Jeffries,None,12/11/11,TO WED A WILD LORD,0.0
2143,"Farrar, Straus & Giroux",Jeffrey Eugenides,1429969180.0,12/11/11,THE MARRIAGE PLOT,0.0
2144,Harlequin,Debbie Macomber,None,12/4/11,1225 CHRISTMAS TREE LANE,0.0
2145,Random House Publishing,Danielle Steel,345529200.0,12/4/11,HOTEL VENDOME,0.0
2146,Knopf Doubleday Publishing,Haruki Murakami,307593312.0,12/4/11,1Q84,0.0
2147,"Little, Brown & Company",Michael Connelly,None,11/27/11,ANGLE OF INVESTIGATION,0.0
2148,Penguin Group,John Sandford,None,11/27/11,SHOCK WAVE,0.0
2149,Houghton Mifflin Harcourt,Umberto Eco,547577532.0,11/27/11,THE PRAGUE CEMETERY,0.0
2150,HarperCollins Publishers,Gregory Maguire,60548940.0,11/20/11,OUT OF OZ,0.0
2151,Chris Culver,Chris Culver,None,11/20/11,THE ABBEY,0.0
2152,Mira,Ron Carr,778312712.0,11/20/11,BRING ME HOME FOR CHRISTMAS,0.0
2153,Harlequin,Diana Palmer,1459215230.0,11/13/11,WYOMING TOUGH,0.0
2154,Random House Publishing,Maya Banks,345519523.0,11/13/11,NEVER LOVE A HIGHLANDER,0.0
2155,Grand Central Publishing,Sandra Brown,None,11/13/11,LETHAL,0.0
2156,Knopf Doubleday,Erin Morgenstern,385534647.0,11/6/11,THE NIGHT CIRCUS,0.0
2157,Simon & Schuster,Alice Hoffman,1451617496.0,11/6/11,THE DOVEKEEPERS,0.0
2158,Grand Central Publishing,James Patterson,446574716.0,11/6/11,CROSS FIRE,0.0
2159,Signet,Harlan Coben,045123491X,10/30/11,MIRACLE CURE,0.0
2160,St. Martin’s,Tatiana de Rosnay,1429985216.0,10/30/11,SARAH’S KEY,0.0
2161,Berkley,J D Robb,None,10/23/11,NEW YORK TO DALLAS,0.0
2162,Wizards of the Coast,R A Salvatore,786958421.0,10/23/11,NEVERWINTER,0.0
2163,Penguin Group,"JD Robb, Mary Blayney, Patricia Gaffney, Ruth Ryan Langan and Mary Kay McComas",None,10/16/11,THE UNQUIET,0.0
2164,Kensington,Fern Michaels,1420125885.0,10/16/11,CHRISTMAS AT TIMBERWOODS,0.0
2165,Hyperion,Richard Castle,1401303919.0,10/16/11,HEAT RISES,0.0
2166,Scribner,Stephen King,None,10/9/11,MILE 81,0.0
2167,Random House,Paula McLain,345521323.0,10/9/11,THE PARIS WIFE,0.0
2168,Penguin Group,Clive Cussler and Justin Scott,399157816.0,10/2/11,THE RACE,0.0
2169,St. Martin's,Michael Savage,312651619.0,10/2/11,ABUSE OF POWER,0.0
2170,Tom Doherty,David Weber,765321548.0,10/2/11,HOW FIRM A FOUNDATION,0.0
2171,Bethany House,Beverly Lewis,076420601X,9/25/11,THE MERCY,0.0
2172,Random House,Lee Child,None,9/25/11,SECOND SON,0.0
2173,Knopf Doubleday,David Nicholls,307946711.0,9/25/11,ONE DAY,0.0
2174,Michael Prescott,Michael Prescott,None,9/18/11,BLIND PURSUIT,0.0
2175,St. Martin's,Tom Perrotta,None,9/18/11,THE LEFTOVERS,0.0
2176,Simon & Schuster,Kathy Reichs,1439112800.0,9/18/11,FLASH AND BONES,0.0
2177,Random House,George R R Martin,553897853.0,9/11/11,A CLASH OF KINGS,0.0
2178,St. Martin's,Janet Evanovich,312383355.0,9/11/11,WICKED APPETITE,0.0
2179,Michael Prescott,Michael Prescott,None,9/11/11,STEALING FACES,0.0
2180,HarperCollins,Daniel Silva,None,9/4/11,PORTRAIT OF A SPY,0.0
2181,Dutton,Julie Garwood,None,9/4/11,THE IDEAL MAN,0.0
2182,Knopf Doubleday,Abraham Verghese,375714367.0,9/4/11,CUTTING FOR STONE,0.0
2183,Simon & Schuster,Jennifer Weiner,1451617747.0,8/28/11,THEN CAME YOU,0.0
2184,"Little, Brown",Michael Connelly,759525773.0,8/21/11,THE BLACK ECHO,0.0
2185,Random House,Danielle Steel,440423317.0,8/21/11,HAPPY BIRTHDAY,0.0
2186,HarperCollins,Ann Patchett,62049828.0,8/14/11,STATE OF WONDER,0.0
2187,HarperCollins,Loretta Chase,61753815.0,8/14/11,LORD OF SCOUNDRELS,0.0
2188,Grand Central,David Baldacci,446583170.0,8/7/11,ONE SUMMER,0.0
2189,Grand Central,Eric Van Lustbader,446564443.0,8/7/11,THE BOURNE DOMINION,0.0
2190,Penguin Group,Tom Clancy with Peter Telep,None,7/31/11,AGAINST ALL ENEMIES,0.0
2191,Random House,George R R Martin,553900323.0,7/31/11,A FEAST FOR CROWS,0.0
2192,Grand Central,David Baldacci,446571415.0,7/31/11,HELL'S CORNER,0.0
2193,Knopf Doubleday,J Courtney Sullivan,307596818.0,7/31/11,MAINE,0.0
2194,Harlequin,Linda Lael Miller,373776004.0,7/24/11,THE CREED LEGACY,0.0
2195,Knopf Doubleday,Barbara Delinsky,385532733.0,7/24/11,ESCAPE,0.0
2196,St. Martin's,Janet Evanovich,312383312.0,7/17/11,SIZZLING SIXTEEN,0.0
2197,"Little, Brown",James Patterson and Maxine Paetro,316126942.0,7/17/11,10TH ANNIVERSARY,0.0
2198,Penguin Group,John Sandford,None,7/10/11,BURIED PREY,0.0
2199,Simon & Schuster,Jeffery Deaver,1451620691.0,7/10/11,CARTE BLANCHE,0.0
2200,Courtney Milan,Courtney Milan,None,7/10/11,UNLOCKED,0.0
2201,Penguin Group,Clive Cussler with Grant Blackwood,399157425.0,7/3/11,THE KINGDOM,0.0
2202,Recorded Books,Barbara Freethy,NA,7/3/11,SUMMER SECRETS,0.0
2203,St. Martin's,Emily Giffin,1429904607.0,7/3/11,SOMETHING BORROWED,0.0
2204,Sourcebooks,Susanna Kearsley,140226108X,7/3/11,THE WINTER SEA,0.0
2205,St. Martin’s,Emily Giffin,1429904623.0,6/26/11,SOMETHING BLUE,0.0
2206,Random House,Steve Berry,345530160.0,6/26/11,THE JEFFERSON KEY,0.0
2207,Random House,Lisa See,679604898.0,6/26/11,DREAMS OF JOY,0.0
2208,HarperCollins,Lynsay Sands,None,6/19/11,THE RELUCTANT VAMPIRE,0.0
2209,Harlequin,Lori Foster,None,6/19/11,TRACE OF FEVER,0.0
2210,Harlequin,Debbie Macomber,None,6/5/11,A TURN IN THE ROAD,0.0
2211,Penguin Group,Robert B Parker,None,6/5/11,SIXKILL,0.0
2212,Penguin Group,Nora Roberts,515149489.0,5/29/11,THE SEARCH,0.0
2213,Grand Central,Sherrilyn Kenyon,446573248.0,5/15/11,BORN OF SHADOWS,0.0
2214,Knopf Doubleday,Jennifer Egan,307477479.0,5/8/11,A VISIT FROM THE GOON SQUAD,0.0
2215,St. Martin’s,Lisa Scottoline,1429959797.0,5/8/11,SAVE ME,0.0
2216,Grand Central,James Patterson and Maxine Paetro,446565504.0,5/8/11,THE 9TH JUDGMENT,0.0
2217,Random House,Jonathan Kellerman,345524381.0,5/1/11,MYSTERY,0.0
2218,Penguin Group,Harlan Coben,None,5/1/11,LIVE WIRE,0.0
2219,Penguin Group,J R Ward,451233166.0,4/24/11,LOVER UNLEASHED,0.0
2220,HarperCollins,Diane Mott Davidson,61348155.0,4/24/11,CRUNCH TIME,0.0
2221,HarperCollins,Kerrelyn Sparks,006208531X,4/17/11,VAMPIRE MINE,0.0
2222,Simon & Schuster,Mary Higgins Clark,1439180989.0,4/17/11,THE SHADOW OF YOUR SMILE,0.0
2223,Penguin Group,Clive Cussler with Jack Du Brul,None,4/17/11,THE JUNGLE,0.0
2224,Random House,Suzanne Brockmann,345521242.0,4/10/11,BREAKING THE RULES,0.0
2225,HarperCollins,Jacqueline Winspear,61727679.0,4/10/11,A LESSON IN SECRETS,0.0
2226,"Little, Brown",James Patterson and Michael Ledwidge,316129186.0,4/10/11,TICK TOCK,0.0
2227,Knopf Doubleday,Maeve Binchy,307595161.0,4/3/11,MINDING FRANKIE,0.0
2228,Penguin Group,Patrick Rothfuss,756404738.0,4/3/11,THE WISE MAN'S FEAR,0.0
2229,Harlequin,Debbie Macomber,None,4/3/11,AN ENGAGEMENT IN SEATTLE,0.0
2230,Penguin Group,J D Robb,None,4/3/11,TREACHERY IN DEATH,0.0
2231,Penguin Group,Linda Fairstein,525952020.0,3/27/11,SILENT MERCY,0.0
2232,Penguin Group,Patricia Briggs,441019730.0,3/27/11,RIVER MARKED,0.0
2233,Harlequin,Ron Carr,None,3/20/11,HARVEST MOON,0.0
2234,Simon & Schuster,Kresley Cole,1439136807.0,3/13/11,DREAMS OF A DARK WARRIOR,0.0
2235,Penwyck,Nancy C Johnson,979190916.0,3/13/11,HER LAST LETTER,0.0
2236,Harlequin,Susan Wiggs,1426884265.0,3/6/11,MARRYING DAISY BELLAMY,0.0
2237,Knopf Doubleday,Dan Brown,1400079144.0,3/6/11,THE LOST SYMBOL,0.0
2238,Penguin Group,Sarah Blake,425238695.0,3/6/11,THE POSTMISTRESS,0.0
2239,Simon & Schuster,Chris Cleave,1416589643.0,3/6/11,LITTLE BEE,0.0
2240,St. Martin’s,Michael Palmer,1429994266.0,3/6/11,A HEARTBEAT AWAY,0.0
2241,Grand Central,Brad Meltzer,446582638.0,2/27/11,THE INNER CIRCLE,0.0
2242,Bantam,Lisa Gardner,553900862.0,2/27/11,THE PERFECT HUSBAND,0.0
2243,St. Martin’s,Kristin Hannah,312663153.0,2/27/11,WINTER GARDEN,0.0
2244,Random House,Dean Koontz,553907530.0,2/27/11,WHAT THE NIGHT KNOWS,0.0
2245,Tom Doherty,Robert Jordan and Brandon Sanderson,1429960639.0,2/20/11,TOWERS OF MIDNIGHT,0.0
2246,Penguin Group,Charles Portis,159020459X,2/20/11,TRUE GRIT,0.0
2247,Random House,Karen Marie Moning,044033974X,2/20/11,SHADOWFEVER,0.0
2248,Penguin Group,Nalini Singh,None,2/13/11,ARCHANGEL’S CONSORT,0.0
2249,Penguin Group,Robert Crais,None,2/13/11,THE SENTRY,0.0
