id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
919,13807.0,Steer,Philip Wilson,1990.0,"The River, Ironbridge",Watercolour on paper,1910.0,Bequeathed by George E. Healing 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06186_8.jpg,http://www.tate.org.uk/art/artworks/steer-the-river-ironbridge-n06186
920,13694.0,Spencer,Sir Stanley,1977.0,Self-Portrait,Oil paint on canvas,1914.0,Bequeathed by Sir Edward Marsh through the Contemporary Art Society 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06188_8.jpg,http://www.tate.org.uk/art/artworks/spencer-self-portrait-n06188
921,15744.0,Vieira da Silva,Maria Helena,2104.0,The Corridor,Oil paint on canvas,1950.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06189_8.jpg,http://www.tate.org.uk/art/artworks/vieira-da-silva-the-corridor-n06189
922,14028.0,Sutherland,Graham,2014.0,Entrance to a Lane,Oil paint on canvas,1939.0,Purchased 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06190_8.jpg,http://www.tate.org.uk/art/artworks/sutherland-entrance-to-a-lane-n06190
923,12999.0,Rowntree,Kenneth,1879.0,The Guitar Players,Oil paint on wood,1933.0,Bequeathed by Albert Rutherston 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06210_8.jpg,http://www.tate.org.uk/art/artworks/rowntree-the-guitar-players-n06210
924,10521.0,Nash,John,1689.0,The Blenheim,Watercolour and graphite on paper,1947.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06214_8.jpg,http://www.tate.org.uk/art/artworks/nash-the-blenheim-n06214
925,10522.0,Nash,John,1689.0,Avoncliffe from the Aqueduct,Watercolour and graphite on paper,1926.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06215_8.jpg,http://www.tate.org.uk/art/artworks/nash-avoncliffe-from-the-aqueduct-n06215
926,12721.0,Rogers,Claude,1861.0,Eclipse at Blandford,Oil paint on canvas,1952.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06216_8.jpg,http://www.tate.org.uk/art/artworks/rogers-eclipse-at-blandford-n06216
927,12722.0,Rogers,Claude,1861.0,The Patient Opposite,Oil paint on board,1952.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06217_8.jpg,http://www.tate.org.uk/art/artworks/rogers-the-patient-opposite-n06217
928,2155.0,Chamberlain,Christopher,884.0,The Dangerous Corner,Oil paint on board,1954.0,Presented by the Trustees of the Chantrey Bequest 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06220_8.jpg,http://www.tate.org.uk/art/artworks/chamberlain-the-dangerous-corner-n06220
