id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
335,Sun 6/7,Saint Kitts and Nevis,15,15,0
336,Sun 6/7,Saint Lucia,19,18,0
337,Sun 6/7,Saint Vincent and the Grenadines,27,16,0
338,Sun 6/7,San Marino,680,428,42
339,Sun 6/7,Sao Tome and Principe,513,68,12
340,Sun 6/7,Saudi Arabia,101914,72817,712
341,Sun 6/7,Senegal,4328,2588,49
342,Sun 6/7,Serbia,11823,11348,249
343,Sun 6/7,Seychelles,11,11,0
344,Sun 6/7,Sierra Leone,969,608,48
345,Sun 6/7,Singapore,37910,24886,25
346,Sun 6/7,Slovakia,1528,1389,28
347,Sun 6/7,Slovenia,1485,1359,109
348,Sun 6/7,Solomon Islands,0,0,0
349,Sun 6/7,Somalia,2334,441,83
350,Sun 6/7,South Africa,48285,24364,998
351,Sun 6/7,South Sudan,1317,6,14
352,Sun 6/7,Spain,241550,150376,27136
353,Sun 6/7,Sri Lanka,1835,941,11
354,Sun 6/7,Sudan,6081,2014,359
355,Sun 6/7,Suriname,122,9,1
356,Sun 6/7,Sweden,44686,0,4921
357,Sun 6/7,Switzerland,30965,28700,1921
358,Sun 6/7,Syria,141,58,6
359,Sun 6/7,Taiwan*,443,430,7
360,Sun 6/7,Tajikistan,4529,2673,48
361,Sun 6/7,Tanzania,509,183,21
362,Sun 6/7,Thailand,3112,2972,58
363,Sun 6/7,Timor-Leste,24,24,0
364,Sun 6/7,Togo,495,248,13
365,Sun 6/7,Trinidad and Tobago,117,108,8
366,Sun 6/7,Tunisia,1087,982,49
367,Sun 6/7,Turkey,170132,137969,4692
368,Sun 6/7,US,1938614,506367,113543
369,Sun 6/7,Uganda,616,96,0
370,Sun 6/7,Ukraine,27599,12513,796
371,Sun 6/7,United Arab Emirates,38808,21806,276
372,Sun 6/7,United Kingdom,265662,1239,38702
373,Sun 6/7,Uruguay,845,730,23
374,Sun 6/7,Uzbekistan,4331,3354,17
375,Sun 6/7,Vanuatu,0,0,0
376,Sun 6/7,Venezuela,2377,487,22
377,Sun 6/7,Vietnam,331,307,0
378,Sun 6/7,West Bank and Gaza,472,403,3
