id,Date,State,Total Confirmed Cases,Total Deaths
201,Sat 8/29,North Dakota,11488,145
202,Sat 8/29,Northern Mariana Islands,56,2
203,Sat 8/29,Ohio,121340,4126
204,Sat 8/29,Oklahoma,57353,797
205,Sat 8/29,Oregon,26293,460
206,Sat 8/29,Pennsylvania,137576,7740
207,Sat 8/29,Puerto Rico,32550,428
208,Sat 8/29,Rhode Island,21683,1046
209,Sat 8/29,South Carolina,117249,2698
210,Sat 8/29,South Dakota,12942,167
211,Sat 8/29,Tennessee,149310,1700
212,Sat 8/29,Texas,633834,12733
213,Sat 8/29,Utah,51486,408
214,Sat 8/29,Vermont,1605,58
215,Sat 8/29,Virgin Islands,1129,14
216,Sat 8/29,Virginia,118809,2568
217,Sat 8/29,Washington,76834,1992
218,Sat 8/29,West Virginia,9967,212
219,Sat 8/29,Wisconsin,79767,1129
220,Sat 8/29,Wyoming,3784,37
221,Sun 8/30,Alabama,125235,2162
222,Sun 8/30,Alaska,6036,34
223,Sun 8/30,Arizona,201695,5033
224,Sun 8/30,Arkansas,60856,784
225,Sun 8/30,California,706589,12939
226,Sun 8/30,Colorado,57515,1945
227,Sun 8/30,Connecticut,52495,4465
228,Sun 8/30,Delaware,17343,604
229,Sun 8/30,District of Columbia,13959,606
230,Sun 8/30,Florida,621578,11118
231,Sun 8/30,Georgia,252813,5478
232,Sun 8/30,Guam,2256,11
233,Sun 8/30,Hawaii,8315,62
234,Sun 8/30,Idaho,32034,360
235,Sun 8/30,Illinois,235779,8248
236,Sun 8/30,Indiana,95394,3291
237,Sun 8/30,Iowa,64599,1113
238,Sun 8/30,Kansas,42011,450
239,Sun 8/30,Kentucky,50170,955
240,Sun 8/30,Louisiana,148568,4931
241,Sun 8/30,Maine,4512,132
242,Sun 8/30,Maryland,108286,3752
243,Sun 8/30,Massachusetts,128229,9049
244,Sun 8/30,Michigan,112598,6750
245,Sun 8/30,Minnesota,75238,1865
246,Sun 8/30,Mississippi,82676,2441
247,Sun 8/30,Missouri,85133,1615
248,Sun 8/30,Montana,7340,104
249,Sun 8/30,Nebraska,34046,400
250,Sun 8/30,Nevada,68981,1305
251,Sun 8/30,New Hampshire,7254,432
252,Sun 8/30,New Jersey,193391,15937
253,Sun 8/30,New Mexico,25283,770
254,Sun 8/30,New York,438831,32534
255,Sun 8/30,North Carolina,166510,2721
256,Sun 8/30,North Dakota,11706,146
257,Sun 8/30,Northern Mariana Islands,56,2
258,Sun 8/30,Ohio,122262,4128
259,Sun 8/30,Oklahoma,58020,799
260,Sun 8/30,Oregon,26554,463
261,Sun 8/30,Pennsylvania,138137,7742
262,Sun 8/30,Puerto Rico,32848,434
263,Sun 8/30,Rhode Island,21683,1046
264,Sun 8/30,South Carolina,118324,2709
265,Sun 8/30,South Dakota,13322,167
266,Sun 8/30,Tennessee,150249,1722
267,Sun 8/30,Texas,636547,12807
268,Sun 8/30,Utah,51854,408
269,Sun 8/30,Vermont,1616,58
270,Sun 8/30,Virgin Islands,1134,14
271,Sun 8/30,Virginia,119747,2569
272,Sun 8/30,Washington,77122,1992
273,Sun 8/30,West Virginia,10110,213
274,Sun 8/30,Wisconsin,80311,1132
275,Sun 8/30,Wyoming,3820,37
276,Mon 8/31,Alabama,126058,2182
277,Mon 8/31,Alaska,6075,34
278,Mon 8/31,Arizona,201866,5031
279,Mon 8/31,Arkansas,61224,797
280,Mon 8/31,California,712541,13020
281,Mon 8/31,Colorado,57797,1952
282,Mon 8/31,Connecticut,52879,4465
283,Mon 8/31,Delaware,17429,605
284,Mon 8/31,District of Columbia,13992,607
285,Mon 8/31,Florida,623463,11186
286,Mon 8/31,Georgia,254238,5506
287,Mon 8/31,Guam,2364,11
288,Mon 8/31,Hawaii,8447,69
289,Mon 8/31,Idaho,32256,364
290,Mon 8/31,Illinois,237682,8258
291,Mon 8/31,Indiana,96277,3296
292,Mon 8/31,Iowa,65252,1120
293,Mon 8/31,Kansas,43407,451
294,Mon 8/31,Kentucky,50884,965
295,Mon 8/31,Louisiana,148894,4950
296,Mon 8/31,Maine,4526,132
297,Mon 8/31,Maryland,108742,3755
298,Mon 8/31,Massachusetts,128533,9060
299,Mon 8/31,Michigan,113163,6756
300,Mon 8/31,Minnesota,75913,1866
301,Mon 8/31,Mississippi,82950,2473
302,Mon 8/31,Missouri,86328,1623
303,Mon 8/31,Montana,7440,104
304,Mon 8/31,Nebraska,34287,402
305,Mon 8/31,Nevada,69318,1305
306,Mon 8/31,New Hampshire,7275,432
307,Mon 8/31,New Jersey,193740,15945
308,Mon 8/31,New Mexico,25352,779
309,Mon 8/31,New York,439480,32541
310,Mon 8/31,North Carolina,167989,2733
311,Mon 8/31,North Dakota,11820,147
312,Mon 8/31,Northern Mariana Islands,56,2
313,Mon 8/31,Ohio,123157,4138
314,Mon 8/31,Oklahoma,58733,800
315,Mon 8/31,Oregon,26723,467
316,Mon 8/31,Pennsylvania,138840,7743
317,Mon 8/31,Puerto Rico,33199,434
318,Mon 8/31,Rhode Island,21949,1048
319,Mon 8/31,South Carolina,118992,2720
320,Mon 8/31,South Dakota,13509,167
321,Mon 8/31,Tennessee,152033,1727
322,Mon 8/31,Texas,640317,12857
323,Mon 8/31,Utah,52166,409
324,Mon 8/31,Vermont,1624,58
325,Mon 8/31,Virgin Islands,1139,15
326,Mon 8/31,Virginia,120594,2580
327,Mon 8/31,Washington,77718,2002
328,Mon 8/31,West Virginia,10250,214
329,Mon 8/31,Wisconsin,80733,1132
330,Mon 8/31,Wyoming,3842,37
331,Tue 9/1,Alabama,127616,2200
332,Tue 9/1,Alaska,6109,36
333,Tue 9/1,Arizona,202375,5048
334,Tue 9/1,Arkansas,61497,814
335,Tue 9/1,California,716628,13149
336,Tue 9/1,Colorado,58118,1953
337,Tue 9/1,Connecticut,53006,4466
338,Tue 9/1,Delaware,17535,605
339,Tue 9/1,District of Columbia,14049,607
