id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
79,Schlitt'Express,Nigloland,"Dolancourt, Champagne-Ardenne",France,Europe,Steel,14.0,45.0,370.0,No,0.0,2007.0
80,Rugrats Runaway Reptar,Kings Island,Kings Mills,USA,North America,Steel,14.6304,42.12,341.986,No,0.0,2001.0
81,Tony Hawk's Big Spin,Six Flags Fiesta Texas,San Antonio,USA,North America,Steel,14.6304,50.22,411.785,No,0.0,2007.0
82,Cedar Creek Mine Ride,Cedar Point,Sandusky,USA,North America,Steel,14.6304,68.04,774.192,No,0.0,1969.0
83,Crazy Mine,Hansa Park,"Sierksdorf, Schleswig-Holstein",Germany,Europe,Steel,15.0,45.0,370.0,No,0.0,1997.0
84,Wilde Maus,Europark,"Vias, Languedoc-Roussillon",France,Europe,Steel,15.0,45.0,370.0,No,0.0,2007.0
85,Pegasus,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,15.0,65.0,400.0,No,0.0,2006.0
86,Wildcat,Cedar Point,Sandusky,USA,North America,Steel,15.24,64.8,559.918,No,0.0,1979.0
87,Technic Coaster,Legoland California,Carlsbad,USA,North America,Steel,15.5448,56.7,399.898,No,0.0,2001.0
88,Project X - Test Strecke,Legoland Deutschland,"Gunzburg, Bavaria",Germany,Europe,Steel,15.8,56.0,400.0,No,0.0,2002.0
89,Rasender Roland,Hansa Park,"Sierksdorf, Schleswig-Holstein",Germany,Europe,Steel,16.0,50.0,522.0,No,0.0,1993.0
90,Matterhorn Blitz,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,16.0,56.3,383.0,No,0.0,1999.0
91,Feuerdrache,Legoland Deutschland,"Gunzburg, Bavaria",Germany,Europe,Steel,16.0,60.0,860.0,No,0.0,2002.0
92,Tony Hawk's Big Spin,Six Flags Over Texas,Arlington,USA,North America,Steel,16.1544,50.22,411.785,No,0.0,2008.0
93,Tony Hawk's Big Spin,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,16.1544,50.22,411.785,No,0.0,2008.0
94,Cornball Express,Indiana Beach,Monticello,USA,North America,Wood,16.764,72.9,640.08,No,0.0,2001.0
95,Coaster Thrill Ride,Puyallup Fair,Puyallup,USA,North America,Wood,16.764,81.0,807.72,No,0.0,1935.0
96,Azteka,Le Pal,"Dompierre Sur Besbre, Centre",France,Europe,Steel,17.0,55.0,500.0,No,0.0,2003.0
97,Sidewinder,Elitch Gardens,Denver,USA,North America,Steel,17.0688,72.9,193.548,Yes,1.0,1995.0
98,Broco,Parque Nacional del Cafe,Montenegro,Colombia,Latin America,Steel,17.3,66.2,787.3,No,0.0,1999.0
99,Winjas,Phantasialand,"Bruhl, North Rhine-Westphalia",Germany,Europe,Steel,17.4,66.0,465.0,No,0.0,2002.0
100,Heibe Fahrt,Wild- und Freizeitpark Klotten/Cochem,"Klotten, Rhineland-Palatinate",Germany,Europe,Steel,17.5,55.0,532.0,No,0.0,2004.0
101,Bambo Coaster,Salitre Magico,Bogota,Colombia,Latin America,Steel,18.0,90.1,860.1,Yes,2.0,2004.0
102,La Vibora,Six Flags Over Texas,Arlington,USA,North America,Steel,18.288,51.84,454.152,No,0.0,1987.0
103,Ninja,Six Flags Magic Mountain,Valencia,USA,North America,Steel,18.288,89.1,822.96,No,0.0,1988.0
104,Sierra Sidewinder,Knott's Berry Farm,Buena Park,USA,North America,Steel,18.8976,59.94,429.768,No,0.0,2007.0
105,Schweizer Bobbahn,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,19.0,50.0,487.0,No,0.0,1985.0
106,Desert Race,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,19.0,100.0,650.0,No,0.0,2007.0
107,Adventure Express,Kings Island,Kings Mills,USA,North America,Steel,19.2024,56.7,903.122,No,0.0,1991.0
108,Disaster Transport,Cedar Point,Sandusky,USA,North America,Steel,19.2024,64.8,588.874,No,0.0,1985.0
109,Super Tornado,Mirobillandia,"Olinda, PB",Brazil,Latin America,Steel,19.5,60.0,350.0,Yes,2.0,2008.0
110,Bocaraca,Parque de Diversiones Dr Roberto Ortiz Brenes,"San Jose, CR",Costa Rica,Latin America,Steel,19.5,60.0,350.0,Yes,2.0,2005.0
111,Super Tornado,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",Germany,Europe,Steel,19.5,60.0,350.0,Yes,2.0,1981.0
112,Wirbelwind,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",Germany,Europe,Steel,19.5,60.0,350.0,Yes,2.0,1982.0
113,Tornado,Bosque Magico,Guadalupe,Mexico,Latin America,Steel,19.5,60.0,350.0,Yes,2.0,2001.0
114,Jaguar!,Knott's Berry Farm,Buena Park,USA,North America,Steel,19.812,56.7,793.09,No,0.0,1995.0
115,Runaway Mountain,Six Flags Over Texas,Arlington,USA,North America,Steel,19.812,64.8,457.2,No,0.0,1996.0
116,Spatiale Experience,Nigloland,"Dolancourt, Champagne-Ardenne",France,Europe,Steel,20.0,60.0,800.0,No,0.0,2000.0
117,Gold Rusher,Six Flags Magic Mountain,Valencia,USA,North America,Steel,21.336,56.7,789.432,No,0.0,1971.0
118,Whizzer,Six Flags Great America,Gurnee,USA,North America,Steel,21.336,68.04,944.88,No,0.0,1976.0
119,Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,USA,North America,Wood,21.336,89.1,804.672,No,0.0,1924.0
120,Judge Roy Scream,Six Flags Over Texas,Arlington,USA,North America,Wood,21.6408,85.86,813.816,No,0.0,1980.0
121,Big Thunder Mountain,Disneyland Resort Paris - Disneyland Park,"Marne la Vallee, Ile-de-France",France,Europe,Steel,22.0,65.0,"1,500",No,0.0,1992.0
122,Giant Dipper,Belmont Park,San Diego,USA,North America,Wood,22.2504,89.1,792.48,No,0.0,1925.0
123,Flight of Fear,Kings Island,Kings Mills,USA,North America,Steel,22.5552,87.48,824.484,Yes,4.0,1996.0
124,Timberhawk: Ride of Prey,Wild Waves Theme Park,Federal Way,USA,North America,Wood,22.86,81.0,792.48,No,0.0,2003.0
125,Star World Mountain,Beto Carrero World,"Penha, SC",Brazil,Latin America,Steel,22.9,64.4,731.5,Yes,2.0,1993.0
126,Super Wirbel,Holiday Park,"Hassloch, Rhineland-Palatinate",Germany,Europe,Steel,22.9,64.4,731.5,Yes,2.0,1979.0
127,Titan Cascabel,Selva Magica,Guadalajara,Mexico,Latin America,Steel,22.9,88.5,762.0,No,0.0,1994.0
