id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
767,Yate,Chile,Stratovolcano,1090 CE,Southern Chile and Argentina,-41.76,-72.4,2187.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
768,Hornopiren,Chile,Stratovolcano,340 CE,Southern Chile and Argentina,-41.87,-72.43,1572.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
769,Apagado,Chile,Pyroclastic cone,590 BCE,Southern Chile and Argentina,-41.88,-72.58,1210.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
770,Huequi,Chile,Lava dome(s),1920 CE,Southern Chile and Argentina,-42.38,-72.58,1318.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
771,Michinmahuida,Chile,Stratovolcano,1835 CE,Southern Chile and Argentina,-42.8,-72.45,2452.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
772,Chaiten,Chile,Caldera,2011 CE,Southern Chile and Argentina,-42.83,-72.65,1122.0,Rhyolite,Subduction zone / Continental crust (>25 km)
773,Yanteles,Chile,Stratovolcano(es),6650 BCE,Southern Chile and Argentina,-43.5,-72.81,2049.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
774,Corcovado,Chile,Stratovolcano,4920 BCE,Southern Chile and Argentina,-43.19,-72.79,1826.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
775,Melimoyu,Chile,Stratovolcano,200 CE,Southern Chile and Argentina,-44.08,-72.88,2400.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
776,Mentolat,Chile,Stratovolcano,1710 CE,Southern Chile and Argentina,-44.7,-73.08,1660.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
777,Maca,Chile,Stratovolcano,1560 CE,Southern Chile and Argentina,-45.1,-73.17,2960.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
778,"Hudson, Cerro",Chile,Stratovolcano,2011 CE,Southern Chile and Argentina,-45.9,-72.97,1905.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
779,Arenales,Chile,Stratovolcano,1979 CE,Southern Chile and Argentina,-47.2,-73.48,3437.0,No Data (checked),Subduction zone / Continental crust (>25 km)
780,Lautaro,Chile,Stratovolcano,1979 CE,Southern Chile and Argentina,-49.02,-73.5,3542.0,Dacite,Subduction zone / Continental crust (>25 km)
781,Aguilera,Chile,Stratovolcano,1250 BCE,Southern Chile and Argentina,-50.33,-73.75,2546.0,Dacite,Subduction zone / Continental crust (>25 km)
782,Reclus,Chile,Pyroclastic cone,1908 CE,Southern Chile and Argentina,-50.96,-73.59,1000.0,Dacite,Subduction zone / Continental crust (>25 km)
783,"Burney, Monte",Chile,Stratovolcano,1910 CE,Southern Chile and Argentina,-52.33,-73.4,1758.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
784,Pali-Aike Volcanic Field,Chile-Argentina,Pyroclastic cone(s),5550 BCE,Southern Chile and Argentina,-52.08,-69.7,282.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
785,Fueguino,Chile,Lava dome(s),1820 CE,Southern Chile and Argentina,-54.97,-70.26,157.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
786,Saba,Netherlands,Stratovolcano,1640 CE,West Indies,17.63,-63.23,887.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
787,"Quill, The",Netherlands,Stratovolcano,250 CE,West Indies,17.48,-62.96,601.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
788,Liamuiga,Saint Kitts and Nevis,Stratovolcano,160 CE,West Indies,17.37,-62.8,1156.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
789,Soufriere Hills,United Kingdom,Stratovolcano,2013 CE,West Indies,16.72,-62.18,915.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
790,Soufriere Guadeloupe,France,Stratovolcano,1977 CE,West Indies,16.04,-61.66,1467.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
791,"Trois Pitons, Morne",Dominica,Complex,920 CE,West Indies,15.37,-61.33,1387.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
792,"Watt, Morne",Dominica,Stratovolcano(es),1997 CE,West Indies,15.31,-61.31,1224.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
793,"Plat Pays, Morne",Dominica,Stratovolcano,1270 CE,West Indies,15.26,-61.34,940.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
794,Pelee,France,Stratovolcano,1932 CE,West Indies,14.81,-61.17,1394.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
795,Qualibou,Saint Lucia,Caldera,1766 CE,West Indies,13.83,-61.05,777.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
796,Soufriere St. Vincent,Saint Vincent and the Grenadines,Stratovolcano,1979 CE,West Indies,13.33,-61.18,1220.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
797,Kick 'em Jenny,Grenada,Submarine,2017 CE,West Indies,12.3,-61.64,-185.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
798,Ljosufjoll,Iceland,Fissure vent(s),960 CE,Iceland (western),64.9,-22.48,1063.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
799,Reykjanes,Iceland,Crater rows,1831 CE,Iceland (southwestern),63.85,-22.57,140.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
800,Krysuvik,Iceland,Crater rows,1340 CE,Iceland (southwestern),63.88,-22.08,360.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
801,Brennisteinsfjoll,Iceland,Crater rows,1341 CE,Iceland (southwestern),63.93,-21.78,610.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
802,Hengill,Iceland,Crater rows,150 CE,Iceland (southwestern),64.08,-21.42,803.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
803,Grimsnes,Iceland,Crater rows,3500 BCE,Iceland (southwestern),64.05,-20.88,200.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
804,Prestahnukur,Iceland,Subglacial,3350 BCE,Iceland (southwestern),64.58,-20.67,1385.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
805,Langjokull,Iceland,Subglacial,950 CE,Iceland (southwestern),64.85,-19.7,1100.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
806,Vestmannaeyjar,Iceland,Submarine,1973 CE,Iceland (southern),63.42,-20.27,283.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
807,Eyjafjallajokull,Iceland,Stratovolcano,2010 CE,Iceland (southern),63.63,-19.63,1651.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
808,Katla,Iceland,Subglacial,1918 CE,Iceland (southern),63.63,-19.08,1490.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
809,Torfajokull,Iceland,Stratovolcano,1477 CE,Iceland (southern),63.89,-19.12,1280.0,Rhyolite,Rift zone / Oceanic crust (< 15 km)
810,Hekla,Iceland,Stratovolcano,2000 CE,Iceland (southern),63.98,-19.67,1490.0,Andesite / Basaltic Andesite,Rift zone / Oceanic crust (< 15 km)
811,Grimsvotn,Iceland,Caldera,2011 CE,Iceland (northeastern),64.42,-17.32,1719.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
812,Bardarbunga,Iceland,Stratovolcano,2015 CE,Iceland (northeastern),64.63,-17.52,2000.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
813,Kverkfjoll,Iceland,Stratovolcano,1968 CE,Iceland (northeastern),64.65,-16.65,1930.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
814,Askja,Iceland,Stratovolcano,1961 CE,Iceland (northeastern),65.03,-16.78,1080.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
815,Fremrinamar,Iceland,Stratovolcano,1200 BCE,Iceland (northeastern),65.42,-16.67,970.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
816,Krafla,Iceland,Caldera,1984 CE,Iceland (northeastern),65.72,-16.73,800.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
817,Theistareykir,Iceland,Shield,900 BCE,Iceland (northeastern),65.83,-17.17,540.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
818,Tjornes Fracture Zone,Iceland,Submarine,1868 CE,Iceland (northeastern),66.31,-17.12,-75.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
819,Oraefajokull,Iceland,Stratovolcano,1728 CE,Iceland (southeastern),64.05,-16.63,2010.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
820,Kolbeinsey Ridge,Iceland,Submarine,1755 CE,North of Iceland,66.67,-18.5,5.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
821,Jan Mayen,Norway,Stratovolcano,1985 CE,Atlantic Ocean (Jan Mayen),71.08,-8.16,2197.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
822,East Gakkel Ridge at 85°E,Undersea Features,Submarine,1999 CE,Arctic Ocean,85.61,85.25,-3800.0,No Data (checked),Rift zone / Oceanic crust (< 15 km)
823,Pico Fracture Zone,Undersea Features,Submarine,1865 CE,Atlantic Ocean (northern),38.75,-38.08,-4200.0,No Data (checked),Intraplate / Oceanic crust (< 15 km)
824,Flores,Portugal,Stratovolcano(es),950 BCE,Azores,39.46,-31.22,914.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
825,Fayal,Portugal,Stratovolcano,1958 CE,Azores,38.6,-28.73,1043.0,Andesite / Basaltic Andesite,Rift zone / Oceanic crust (< 15 km)
826,Pico,Portugal,Stratovolcano,1720 CE,Azores,38.47,-28.4,2351.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
827,San Jorge,Portugal,Fissure vent,1907 CE,Azores,38.65,-28.08,1053.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
828,Graciosa,Portugal,Stratovolcano,1950 BCE,Azores,39.02,-27.97,402.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
829,Terceira,Portugal,Stratovolcano(es),2000 CE,Azores,38.73,-27.32,1023.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
830,Don Joao de Castro Bank,Portugal,Submarine,1720 CE,Azores,38.23,-26.63,-13.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
831,Sete Cidades,Portugal,Stratovolcano,1880 CE,Azores,37.87,-25.78,856.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
832,Picos Volcanic System,Portugal,Pyroclastic cone(s),1652 CE,Azores,37.78,-25.67,350.0,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km)
833,Agua de Pau,Portugal,Stratovolcano,1564 CE,Azores,37.77,-25.47,947.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
834,Furnas,Portugal,Stratovolcano,1630 CE,Azores,37.77,-25.32,805.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
835,Monaco Bank,Portugal,Submarine,1911 CE,Azores,37.6,-25.88,-197.0,No Data (checked),Rift zone / Oceanic crust (< 15 km)
836,Madeira,Portugal,Shield,4500 BCE,Azores,32.73,-16.97,1862.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
837,La Palma,Spain,Stratovolcano(es),1971 CE,Canary Islands,28.57,-17.83,2426.0,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic crust (< 15 km)
838,Hierro,Spain,Shield,2012 CE,Canary Islands,27.73,-18.03,1500.0,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic crust (< 15 km)
839,Tenerife,Spain,Stratovolcano,1909 CE,Canary Islands,28.27,-16.64,3715.0,Phonolite,Intraplate / Oceanic crust (< 15 km)
840,Gran Canaria,Spain,Fissure vent(s),40 CE,Canary Islands,28.0,-15.58,1950.0,Trachybasalt / Tephrite Basanite,Intraplate / Intermediate crust (15-25 km)
841,Lanzarote,Spain,Fissure vent(s),1824 CE,Canary Islands,29.03,-13.63,670.0,Basalt / Picro-Basalt,Intraplate / Intermediate crust (15-25 km)
842,Fogo,Cape Verde,Stratovolcano,2015 CE,Cape Verde Islands,14.95,-24.35,2829.0,Foidite,Intraplate / Intermediate crust (15-25 km)
843,Ascension,United Kingdom,Stratovolcano,1508 CE,Atlantic Ocean (central),-7.95,-14.37,858.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
844,Walvis Ridge at 33°S,Undersea Features,Submarine,2002 CE,Atlantic Ocean (central),-32.96,-5.22,-1200.0,No Data (checked),Intraplate / Oceanic crust (< 15 km)
845,Tristan da Cunha,United Kingdom,Shield,1962 CE,Atlantic Ocean (southern),-37.09,-12.28,2060.0,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km)
846,Nightingale Island,United Kingdom,Stratovolcano,2004 CE,Atlantic Ocean (southern),-37.42,-12.48,365.0,Trachyte / Trachydacite,Rift zone / Oceanic crust (< 15 km)
847,Bouvet,Norway,Shield,50 BCE,Atlantic Ocean (southern),-54.41,3.35,741.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
848,Buckle Island,Antarctica,Stratovolcano,1899 CE,Antarctica and South Sandwich Islands,-66.78,163.25,1239.0,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km)
849,"Pleiades, The",Antarctica,Stratovolcano,1050 BCE,Antarctica and South Sandwich Islands,-72.67,165.5,3040.0,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km)
850,Melbourne,Antarctica,Stratovolcano,1892 CE,Antarctica and South Sandwich Islands,-74.35,164.7,2732.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
851,Erebus,Antarctica,Stratovolcano,2020 CE,Antarctica and South Sandwich Islands,-77.53,167.17,3794.0,Phonolite,Intraplate / Continental crust (>25 km)
852,Berlin,Antarctica,Shield(s),8350 BCE,Antarctica and South Sandwich Islands,-76.05,-136.0,3478.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
853,Takahe,Antarctica,Shield,5550 BCE,Antarctica and South Sandwich Islands,-76.28,-112.08,3460.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
854,Hudson Mountains,Antarctica,Stratovolcano(es),210 BCE,Antarctica and South Sandwich Islands,-74.33,-99.42,749.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
855,Deception Island,Antarctica,Caldera,1970 CE,Antarctica and South Sandwich Islands,-63.0,-60.65,602.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
856,Penguin Island,Antarctica,Stratovolcano,1905 CE,Antarctica and South Sandwich Islands,-62.1,-57.93,180.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
857,Southern Thule,United Kingdom,Stratovolcano(es),1975 CE,Antarctica and South Sandwich Islands,-59.44,-27.23,1075.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
858,Bristol Island,United Kingdom,Stratovolcano,2016 CE,Antarctica and South Sandwich Islands,-59.02,-26.53,1100.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
859,Montagu Island,United Kingdom,Shield,2007 CE,Antarctica and South Sandwich Islands,-58.45,-26.37,1370.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
860,Saunders,United Kingdom,Stratovolcano,2020 CE,Antarctica and South Sandwich Islands,-57.8,-26.48,843.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
861,Candlemas Island,United Kingdom,Stratovolcano,1911 CE,Antarctica and South Sandwich Islands,-57.08,-26.67,550.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
862,Zavodovski,United Kingdom,Stratovolcano,2016 CE,Antarctica and South Sandwich Islands,-56.3,-27.57,551.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
863,Protector Seamounts,United Kingdom,Submarine,1962 CE,Antarctica and South Sandwich Islands,-55.91,-28.17,-55.0,Rhyolite,Subduction zone / Oceanic crust (< 15 km)
