id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
521,Aniakchak,United States,Caldera,1931 CE,Alaska Peninsula,56.88,-158.17,1341.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
522,Yantarni,United States,Stratovolcano,800 BCE,Alaska Peninsula,57.02,-157.19,1345.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
523,Chiginagak,United States,Stratovolcano,1998 CE,Alaska Peninsula,57.14,-156.99,2221.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
524,Ugashik-Peulik,United States,Stratovolcano,1814 CE,Alaska Peninsula,57.75,-156.37,1474.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
525,Ukinrek Maars,United States,Maar(s),1977 CE,Alaska Peninsula,57.83,-156.51,91.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
526,Martin,United States,Stratovolcano,1953 CE,Alaska Peninsula,58.17,-155.36,1863.0,Dacite,Subduction zone / Continental crust (>25 km)
527,Mageik,United States,Stratovolcano,500 BCE,Alaska Peninsula,58.2,-155.25,2165.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
528,Trident,United States,Stratovolcano,1974 CE,Alaska Peninsula,58.24,-155.1,1864.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
529,Katmai,United States,Stratovolcano,1912 CE,Alaska Peninsula,58.28,-154.96,2047.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
530,Novarupta,United States,Caldera,1912 CE,Alaska Peninsula,58.27,-155.16,841.0,Rhyolite,Subduction zone / Continental crust (>25 km)
531,Griggs,United States,Stratovolcano,1790 BCE,Alaska Peninsula,58.35,-155.09,2317.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
532,Snowy Mountain,United States,Stratovolcano(es),1710 CE,Alaska Peninsula,58.34,-154.68,2162.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
533,Kaguyak,United States,Lava dome(s),3850 BCE,Alaska Peninsula,58.61,-154.03,901.0,Dacite,Subduction zone / Continental crust (>25 km)
534,Fourpeaked,United States,Stratovolcano,2006 CE,Alaska Peninsula,58.77,-153.67,2105.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
535,Augustine,United States,Lava dome(s),2006 CE,Alaska (southwestern),59.36,-153.43,1252.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
536,Iliamna,United States,Stratovolcano,1876 CE,Alaska (southwestern),60.03,-153.09,3053.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
537,Redoubt,United States,Stratovolcano,2009 CE,Alaska (southwestern),60.49,-152.74,3108.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
538,Spurr,United States,Stratovolcano,1992 CE,Alaska (southwestern),61.3,-152.25,3374.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
539,Hayes,United States,Stratovolcano,1200 CE,Alaska (southwestern),61.64,-152.41,3034.0,Dacite,Subduction zone / Continental crust (>25 km)
540,St. Paul Island,United States,Shield,1280 BCE,Alaska (western),57.18,-170.3,203.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
541,Imuruk Lake,United States,Shield(s),300 CE,Alaska (western),65.52,-163.45,610.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
542,Buzzard Creek,United States,Tuff ring(s),1050 BCE,Alaska (eastern),64.06,-148.43,830.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
543,Wrangell,United States,Shield,1912 CE,Alaska (eastern),62.01,-144.02,4278.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
544,Churchill,United States,Stratovolcano,847 CE,Alaska (eastern),61.38,-141.75,5005.0,Dacite,Intraplate / Continental crust (>25 km)
545,Edgecumbe,United States,Stratovolcano(es),2220 BCE,Alaska (eastern),57.05,-135.75,970.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
546,Edziza,Canada,Stratovolcano,950 CE,Canada,57.72,-130.63,2786.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
547,Hoodoo Mountain,Canada,Subglacial,7050 BCE,Canada,56.78,-131.28,1850.0,Phonolite,Intraplate / Continental crust (>25 km)
548,Iskut-Unuk River Cones,Canada,Pyroclastic cone(s),1800 CE,Canada,56.58,-130.55,1880.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
549,Tseax River Cone,Canada,Pyroclastic cone,1690 CE,Canada,55.12,-128.9,609.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
550,Nazko,Canada,Pyroclastic cone(s),5220 BCE,Canada,52.93,-123.73,1238.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
551,Wells Gray-Clearwater,Canada,Pyroclastic cone(s),1550 CE,Canada,52.33,-120.57,2576.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
552,Meager,Canada,Complex,410 BCE,Canada,50.63,-123.5,2680.0,Dacite,Subduction zone / Continental crust (>25 km)
553,Garibaldi,Canada,Stratovolcano,8060 BCE,Canada,49.85,-123.0,2678.0,Dacite,Subduction zone / Continental crust (>25 km)
554,Baker,United States,Stratovolcano(es),1880 CE,USA (Washington),48.78,-121.81,3285.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
555,Glacier Peak,United States,Stratovolcano,1700 CE,USA (Washington),48.11,-121.11,3213.0,Dacite,Subduction zone / Continental crust (>25 km)
556,Rainier,United States,Stratovolcano,1450 CE,USA (Washington),46.85,-121.76,4392.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
