id,Name,Date of birth / death,Occupation(s),Inventions / accomplishments
53,"Goode, Sarah E.",1855–1905,Inventor,Cabinet bed invention; first African-American woman to receive a patent in the United States
54,"Gilbert, Juan E.",1969–,Computer scientist,Awarded the first Presidential Endowed Chair at Clemson University in honor of his accomplishments
55,"Grant, George F.",1846–1910,"Dentist, professor","The first African-American professor at Harvard, Boston dentist, and inventor of a wooden golf tee."
56,"Green, Lisa",Unknown,Linguist,Specializes in syntax and the study of African American English
57,"Griffin, Bessie Blount",1914–2009,"Physical therapist, inventor",Amputee self-feeding device
58,"Harris, James A.",1932–2000,Scientist,Co-discovered Rutherfordium (element 104) and Dubnium (element 105) at Lawrence Livermore Laboratory
59,"Hawkins, Walter Lincoln",1911–1992,Scientist,Inventor at Bell Laboratories
60,"Holley, Kerrie",1954–,Computer scientist,IBM's 1st black Distinguished Engineer and 2nd black IBM Fellow.  Inventor of several software engineering techniques including system and methods for locating mobile devices using location and presence information
61,"Jackson, John W",1953–2007,"Electrical Engineer, inventor",Co-inventor of imaging x-ray spectrometer.
62,"Jackson, Mary",1921–2005,"Mathematician, Aerospace engineer",NASA's first black female engineer
63,"Jackson, Dr. Shirley",1946–,Physicist,"Helped develop technologies leading to the invention of the touch-tone telephone, portable fax, solar cells, fiber optic cables, and the technology enabling caller ID and call waiting.[citation needed] However, in a recent article from MIT, there is no evidence that she helped to develop these technologies.[82]"
64,"Jarvis, Erich",1965–,Neurobiologist,Duke University neuroscience bird songs studies
65,"Jennings, Thomas L.",1791–1856,Inventor,First African American to be granted a patent (for a dry cleaning process called dry scouring)
66,"Johnson, Isaac",18xx– ?,Inventor,"Held patent for improvements to the bicycle frame, specifically so it could be taken apart for compact storage"
67,"Johnson, Lonnie",1949–,"Mechanical engineer, nuclear engineer, inventor",Invented Super Soaker while researching thermal energy transfer engines; worked with NASA; holder of over 80 patents
68,"Johnson, Katherine",1918–2020,"Physicist, mathematician",Made contributions to the United States' aeronautics and space programs with the early application of digital electronic computers at NASA.
69,"Jones, Frederick McKinley",1893–1961,Inventor,Invented refrigerated truck systems
70,"Julian, Percy",1899–1975,Chemist,First to synthesize the natural product physostigmine; earned 130 chemical patents; lauded for humanitarian achievements
71,"Just, Ernest",1883–1941,Woods Hole Marine Biology Institute biologist,Provided basic and initial descriptions of the structure–function–property relationship of the plasma membrane of biological cells
72,"Kittles, Rick",1967–,Geneticist,Work in tracing the ancestry of African Americans via DNA testing
73,"Kountz, Samuel L.",1930–1981,"Transplant surgeon, researcher","Organ transplantation pioneer, particularly renal transplant research and surgery; author or co-author of 172 articles in scientific publications"
74,"Latimer, Lewis",1848–1928,"Inventor, draftsman, expert witness",Worked as a draftsman for both Alexander Graham Bell and Thomas Edison; became a member of Edison's Pioneers and served as an expert witness in many light bulb litigation lawsuits; said to have invented the water closet
75,"Lawson, Jerry",1940–2011,Computer engineer,"Designer of Fairchild Channel F, the first programmable ROM cartridge-based video game console"
76,"Lee, Raphael Carl",1949–,"Surgeon, biomedical engineer[citation needed]","Paul and Aileen Russell Professor, Pritzker School of Medicine; MacArthur Fellow, Searle Scholar, founder and chairman, Avocet Polymer Technologies, Inc.; founder and chairman, Renacyte BioMolecular Technologies, Inc; discovered use of surfactant copolymers as molecular chaperones to augment endogenous injury repair mechanisms of living cells; holder of many patents covering scar treatment therapies, tissue engineered ligaments, brain trauma therapies, and protective garments[citation needed]"
77,"Lynk, Beebe Steven",1872–1948,Chemist,Teacher at West Tennessee University
78,"Mahoney, Mary",1845–1926,Nurse,First African American to study and work as a professionally trained nurse in the United States[112]
79,"Matzeliger, Jan",1852–1889,Inventor,Shoe assembly Machine
80,"McBay, Henry",1914–1995,Chemist,His discoveries allowed chemists around the world to create inexpensive peroxide compounds
81,"McCoy, Elijah",1844–1929,Inventor,"Invented a version of the automatic lubricator for steam engines, McCoy learned a great deal of his skills from a mechanical apprenticeship when he was age fifteen  ."
82,"McWhorter, John",1965–,Linguist,Specializes in the study of creole language formation
83,"Montgomery, Benjamin",1819–1877,Inventor,Designed a steam operated propeller to provide propulsion to boats in shallow water
84,"Moore, Willie Hobbs",1934–1994,Physicist,First African American woman to earn a PhD in Physics (University of Michigan Ann Arbor 1972) on vibrational analysis of secondary chlorides
85,"Morgan, Garrett",1877–1963,Inventor,"Invented an early version of a gas mask called a smoke hood, and created the first traffic light that included a third ""warning"" position which is standard today. Morgan also developed a chemical that was used in hair products for hair-straightening."
86,"Miles, Alexander",1838–1918,Inventor,Invented electric elevator doors that automatically open and close
87,"Nriagu, Jerome",1944–,Geochemist,Studies toxic metals in the environment; supporter of the lead poisoning thesis of the decline of the Roman Empire
88,"Oyekan, Soni",1946–,Chemical engineer,Inventions in oil refining
89,"Parker, Alice H.",1895–,Inventor,Furnace for Central Heating
90,"Poindexter, Hildrus",1901–1987,"Bacteriologist, epidemiologist","Work on the epidemiology of tropical diseases, including malaria"
91,"Petters, Arlie",1964–,Physicist,Work on the mathematical physics of gravitational lensing
92,"Quarterman, Lloyd Albert",1918–1982,"Scientist, fluoride chemist","Manhattan Project, worked with Albert Einstein and Enrico Fermi"
93,"Rillieux, Norbert",1806–1894,"Engineer, inventor",Inventor of the multiple-effect evaporator
94,"Robinson, Larry",1957–,Environmental chemist,Investigated possible role of arsenic in the death of Zachary Taylor; interim president of Florida A&M University
95,"Ross, Archia",Unknown,Inventor,"A runner for stoops (1896), bag closure device (1898), a wrinkle-preventing trouser stretcher (1899), a garment-hanger (1903), and a holder for brooms and like articles."
96,"Russell, Jesse",1948–,"Engineer, inventor",Wireless communications engineer
97,"Sammons, Walter",1890–1973,Inventor,Patent for hot comb
98,"Sowell, Thomas",1930–,"Economist, social scientist","Economist, social theorist and political philosopher"
99,"Steele, Claude",1946–,"Psychologist, social scientist",Stereotype threat studies
100,"Stiff, Lee",1941–,Mathematician,President of the National Council of Teachers of Mathematics from 2000 to 2002
101,"Snyder, Window",1976–,Computer engineer,"Security engineer at Microsoft, Mozilla, and Apple"
102,"Temple, Lewis",1800–1854,"Inventor, blacksmith, abolitionist",Inventor of the toggling whaling harpoon head
103,"Thomas, Vivien",1910–1985,Surgical technician,Blue baby syndrome treatment in the 1940s
104,"Turner, Charles Henry",1867–1923,Zoologist,"First person to prove that insects can hear and can distinguish pitch, that cockroaches can learn by trial and error, and that honeybees can see color; first African-American to receive a PhD from the University of Chicago"
105,"Tyree, G. Bernadette",19xx–,Biochemist[citation needed],"Program Director, Division of Musculoskeletal Diseases, at National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health"
106,"Tyson, Neil deGrasse",1958–,Astronomer,Researcher and popular educator in astronomy and the sciences
107,"Vaughan, Dorothy",1910–2008,Mathematician,Worked for NACA and NASA at Langley Research Center
108,"Valerino, Powtawche",1980- ,Engineer,Worked for JPL and NASA at Langley Research Center
