id,State or region,Total adults in correctional facilities,White adults in correctional facilities,Black or African American adults in correctional facilities,American Indian and Alaska Native adults in correctional facilities,Asian adults in correctional facilities,Native Hawaiian and other Pacific Islander adults in correctional facilities,Adults of some other race in correctional facilities,Adults of two or more races in correctional facilities,Hispanic or Latino adults in correctional facilities,Total US Population,Total US Population: White adults,Total US Population: Black or African American adults,Total US Population: American Indian and Alaska Native adults,Total US Population of Asian adults,Total US Population: Native Hawaiian and other Pacific Islander adults,Total US Population: Some other race adults,Total US Population: Adults of two or more races,Total US Population: Hispanic or Latino adults,"Incarceration rate per 100,000 adults","Incarceration rate per 100,000 of White adults","Incarceration rate per 100,000 of Black or African American adults","Incarceration rate per 100,000 of American Indian and Alaska Native adults","Incarceration rate per 100,000 of Asian adults","Incarceration rate per 100,000 of Native Hawaiian and other Pacific Islander adults","Incarceration rate per 100,000 of some other race adults","Incarceration rate per 100,000 of adults of two or more races","Incarceration rate per 100,000 of Hispanic or Latino adults"
44,Tennessee,46957.0,25054.0,20746.0,133.0,103.0,5.0,627.0,289.0,1725.0,6346105.0,4921948.0,1057315.0,19994.0,91242.0,3642.0,141955.0,110009.0,290059.0,739.9341801,509.026101,1962.139949,665.1995599,112.8866092,137.2872048,441.6892677,262.7057786,594.7065942
45,Texas,267405.0,149359.0,85057.0,1000.0,1665.0,70.0,28362.0,1892.0,91935.0,25145561.0,17701552.0,2979598.0,170972.0,964596.0,21656.0,2628186.0,679001.0,9460921.0,1063.428253,843.7621741,2854.646835,584.8910933,172.6111242,323.2360547,1079.147366,278.6446559,971.7341472
46,Utah,12666.0,9969.0,794.0,490.0,81.0,128.0,938.0,266.0,2982.0,2763885.0,2379560.0,29287.0,32927.0,55285.0,24554.0,166754.0,75518.0,358340.0,458.2679815,418.9429979,2711.100488,1488.140432,146.5135208,521.2999919,562.5052473,352.2339045,832.1705643
47,Vermont,1592.0,1348.0,139.0,29.0,5.0,0.0,13.0,58.0,82.0,625741.0,596292.0,6277.0,2207.0,7947.0,160.0,2105.0,10753.0,9208.0,254.4183616,226.0637406,2214.433647,1314.000906,62.91682396,0.0,617.5771971,539.3843579,890.5299739
48,Virginia,65240.0,26216.0,37518.0,191.0,285.0,48.0,663.0,319.0,3043.0,8001024.0,5486852.0,1551399.0,29225.0,439890.0,5980.0,254278.0,233400.0,631825.0,815.3956294,477.7967403,2418.333388,653.5500428,64.7889245,802.6755853,260.7382471,136.6752356,481.6207019
49,Washington,31960.0,22698.0,5693.0,1482.0,522.0,250.0,700.0,615.0,4543.0,6724540.0,5196362.0,240042.0,103869.0,481067.0,40475.0,349799.0,312926.0,755790.0,475.2741451,436.8055959,2371.668291,1426.797216,108.508794,617.6652254,200.1149231,196.5320875,601.0928962
50,West Virginia,16591.0,11221.0,4646.0,97.0,47.0,14.0,389.0,177.0,1021.0,1852994.0,1739988.0,63124.0,3787.0,12406.0,428.0,6119.0,27142.0,22268.0,895.3617767,644.889505,7360.116596,2561.394243,378.8489441,3271.028037,6357.247916,652.1258566,4585.054787
51,Wisconsin,38102.0,21195.0,14518.0,1439.0,195.0,88.0,422.0,245.0,2090.0,5686986.0,4902067.0,359148.0,54526.0,129234.0,1827.0,135867.0,104317.0,336056.0,669.9858238,432.3686314,4042.34466,2639.107949,150.8890849,4816.639299,310.5978641,234.8610485,621.9201562
52,Wyoming,3576.0,2916.0,146.0,296.0,9.0,6.0,121.0,82.0,532.0,563626.0,511279.0,4748.0,13336.0,4426.0,427.0,17049.0,12361.0,50231.0,634.4632788,570.3343967,3074.978939,2219.556089,203.3438771,1405.152225,709.7190451,663.3767495,1059.106926
53,Puerto Rico,12979.0,8885.0,2827.0,214.0,11.0,1.0,878.0,163.0,12671.0,3725789.0,2825100.0,461498.0,19839.0,6831.0,370.0,289905.0,122246.0,3688455.0,348.3557442,314.5021415,612.5703687,1078.683401,161.0305958,270.2702703,302.8578327,133.3376961,343.5313702
