id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Group
8e0f42ec8dc0d319023e6cb579d863661161871bac1b8a25c489b3a82f0a3dbf,100,100,94,97,99.27,100,100,95.5,97.75,100,100,97,98.5,,,,,,,,,,,,,,,,,98.15,98.15,42.19,42.19,,,0,0,,,0,0,98.15,98.15,40.08,40.08,G1
dc28a51355fb05355254895b9d721c469ac790964ccbfb07833de61260208354,100,100,70,97,95.5,98.06,92.51,97.25,99.25,100,95.91,100,100,,,,,,,,,,,,,,,,,95.14,95.14,40.89,40.89,,,0,0,,,0,0,95.14,95.14,38.85,38.85,G1
8bcb8cf731e30473b7dd1716efd3907484883cc251e4e4d26e95c83ab8054a69,100,100,82,86.5,93,98,100,99.05,99.75,100,100,81.42,100,,,,,,,,,,,,,,,,,94.77,94.77,40.73,40.73,,,0,0,,,0,0,94.77,94.77,38.7,38.7,G1
c745fc58616172ec55ed1e52653e7387d6bc5401346c9ea2e0ec5d12f7e4bfad,0,0,59,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,6.02,6.02,2.59,2.59,,,0,0,,,0,0,6.02,6.02,2.46,2.46,G1
80d3dfceec55d44afb58a1196549041f07ea13267d2890d66ec2a88457a516ea,100,100,100,100,82.5,100,100,100,100,100,93.91,100,100,,,,,,,,,,,,,,,,,98.37,98.37,42.28,42.28,,,0,0,,,0,0,98.37,98.37,40.17,40.17,G1
080b542dd35f4a39d3295251598a95c121a08848525b55fbccb499c04ad42c83,100,100,82,95,86.5,19,5,100,60,25.07,23.87,0,81,,,,,,,,,,,,,,,,,55.18,55.18,23.72,23.72,,,0,0,,,0,0,55.18,55.18,22.53,22.53,G1
ee3bf6c183ee37bd085d1f76e5987ac24d02b86fbc47d00409d9d08b775cd0a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1
c1b851363717b3ec4e7480d8d18f73ff3e62dcafca70b9523f2e1832dee0c0e9,100,100,94,97.23,86,28.51,25.06,98,97.8,100,95.91,75.5,88.5,,,,,,,,,,,,,,,,,83.51,83.51,35.89,35.89,,,0,0,,,0,0,83.51,83.51,34.1,34.1,G1
d14655ec56d2f61020f6f7ecf11b6a88fe8bf6368b7fb6c7e09a0f3a00816b4a,100,100,100,98.5,73.7,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.3,98.3,42.25,42.25,,,0,0,,,0,0,98.3,98.3,40.14,40.14,G1
49e6dfea53dbcb3d6e1ad10e41fb4abfa1ee0e79643ab9ed85e0e15ccb8b6dd1,100,100,70,95.77,86,92.91,93.09,100,100,95.91,28.2,95,85.5,,,,,,,,,,,,,,,,,85.86,85.86,36.91,36.91,,,0,0,,,0,0,85.86,85.86,35.06,35.06,G1
8a1b54a3323d35b59898a5d7ccae3d83f4d99f942bf2d6d39b00bc80907070bc,100,100,94,92,95.5,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.62,98.62,42.39,42.39,,,0,0,,,0,0,98.62,98.62,40.27,40.27,G1
f58710c2120e0eb2b888ae90b7dc93cc48b4e43d7974ec75f02b7271724c740b,100,100,94,99.27,72.2,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,97.64,97.64,41.97,41.97,,,0,0,,,0,0,97.64,97.64,39.87,39.87,G1
03d0899db3e2e32f3804d020914aba05ff142c6efb10180319539803bac0856c,100,100,86,100,93,100,93.09,96.5,0,94.51,94.6,96.5,30,,,,,,,,,,,,,,,,,80.7,80.7,34.69,34.69,,,0,0,,,0,0,80.7,80.7,32.95,32.95,G1
5c4471b856e587535c7277843180b552ef0f5bb868a8c9893855a4577d53bbf6,100,100,100,99.73,76.7,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.56,98.56,42.36,42.36,,,0,0,,,0,0,98.56,98.56,40.24,40.24,G1
992f7c7a900ea1ece24fb1371018bca8f4a0cb8124e4159ba0e3cc7408178b0f,100,100,88,93,95.73,100,18,100,100,100,26.82,100,8,,,,,,,,,,,,,,,,,76.12,76.12,32.72,32.72,,,0,0,,,0,0,76.12,76.12,31.08,31.08,G1
