id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1478,Manhattan Down Alliance,"23 Fulton Street, New York, NY 10038, USA",40.71,-74.0,Outdoor,Manhattan,Battery Park City-Lower Manhattan,10038.0
1479,Manhattan Down Alliance,"19 Fulton Street, New York, NY 10038, USA",40.71,-74.0,Outdoor,Manhattan,Battery Park City-Lower Manhattan,10038.0
1480,Manhattan Down Alliance,"201 Front Street, New York, NY 10038, USA",40.71,-74.0,Outdoor,Manhattan,Battery Park City-Lower Manhattan,10038.0
1481,LinkNYC - Citybridge,2040 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1482,LinkNYC - Citybridge,2020 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1483,LinkNYC - Citybridge,2008 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1484,LinkNYC - Citybridge,1992 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1485,LinkNYC - Citybridge,2060 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1486,LinkNYC - Citybridge,1858 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1487,LinkNYC - Citybridge,216 West 89st,40.79,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1488,LinkNYC - Citybridge,2245 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1489,LinkNYC - Citybridge,2085 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1490,LinkNYC - Citybridge,2160 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1491,LinkNYC - Citybridge,2130 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10023.0
1492,LinkNYC - Citybridge,2120 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10023.0
1493,LinkNYC - Citybridge,2095 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1494,LinkNYC - Citybridge,2096 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1495,LinkNYC - Citybridge,2298 BROADWAY,40.79,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1496,LinkNYC - Citybridge,2029 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1497,LinkNYC - Citybridge,1972 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1498,LinkNYC - Citybridge,1860 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1499,LinkNYC - Citybridge,1855 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1500,LinkNYC - Citybridge,2518 Broadway,40.79,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1501,LinkNYC - Citybridge,2618 Broadway,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1502,LinkNYC - Citybridge,2565 Broadway,40.79,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1503,LinkNYC - Citybridge,2601 Broadway,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1504,LinkNYC - Citybridge,2061 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1505,LinkNYC - Citybridge,842 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1506,LinkNYC - Citybridge,816 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1507,LinkNYC - Citybridge,2321 BROADWAY,40.79,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1508,LinkNYC - Citybridge,2794 Broadway,40.8,-73.97,Outdoor Kiosk,Manhattan,Morningside Heights,10025.0
1509,LinkNYC - Citybridge,235 West 102st,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1510,LinkNYC - Citybridge,1967 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1511,LinkNYC - Citybridge,1967 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1512,LinkNYC - Citybridge,2828 BROADWAY,40.8,-73.97,Outdoor Kiosk,Manhattan,Morningside Heights,10025.0
1513,LinkNYC - Citybridge,2780 Broadway,40.8,-73.97,Outdoor Kiosk,Manhattan,Morningside Heights,10025.0
1514,LinkNYC - Citybridge,1972 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1515,LinkNYC - Citybridge,2001 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1516,LinkNYC - Citybridge,1981 BROADWAY,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1517,LinkNYC - Citybridge,782 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1518,LinkNYC - Citybridge,2596 Broadway,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1519,LinkNYC - Citybridge,852 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1520,LinkNYC - Citybridge,2114 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1521,LinkNYC - Citybridge,222 BROADWAY,40.79,-73.98,Outdoor Kiosk,Manhattan,Battery Park City-Lower Manhattan,10038.0
1522,LinkNYC - Citybridge,2163 BROADWAY,40.78,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1523,LinkNYC - Citybridge,130 WEST 68 STREET,40.77,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1524,LinkNYC - Citybridge,155 WEST 68 STREET,40.78,-73.98,Outdoor Kiosk,Manhattan,Lincoln Square,10023.0
1525,LinkNYC - Citybridge,2260 BROADWAY,40.79,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1526,LinkNYC - Citybridge,2276 BROADWAY,40.79,-73.98,Outdoor Kiosk,Manhattan,Upper West Side,10024.0
1527,LinkNYC - Citybridge,200 E 86ST,40.78,-73.95,Outdoor Kiosk,Manhattan,Yorkville,10028.0
1528,LinkNYC - Citybridge,181 E 90ST,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10128.0
1529,LinkNYC - Citybridge,1585 3 AVENUE,40.78,-73.95,Outdoor Kiosk,Manhattan,Yorkville,10128.0
1530,LinkNYC - Citybridge,170 E 87ST,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10128.0
1531,LinkNYC - Citybridge,179 E 86ST,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10028.0
1532,LinkNYC - Citybridge,1700 3 AVENUE,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10128.0
1533,LinkNYC - Citybridge,1675 3 AVENUE,40.78,-73.95,Outdoor Kiosk,Manhattan,Yorkville,10128.0
1534,LinkNYC - Citybridge,755 AMSTERDAM AVE,40.79,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1535,LinkNYC - Citybridge,876 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1536,LinkNYC - Citybridge,856 AMSTERDAM AVE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1537,LinkNYC - Citybridge,836 AMSTERDAM AVENUE,40.8,-73.97,Outdoor Kiosk,Manhattan,Upper West Side,10025.0
1538,LinkNYC - Citybridge,1644 3 AVENUE,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10128.0
1539,LinkNYC - Citybridge,1622 3 AVENUE,40.78,-73.95,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10128.0
1540,LinkNYC - Citybridge,21 EAST 66 STREET,40.77,-73.97,Outdoor Kiosk,Manhattan,Upper East Side-Carnegie Hill,10065.0
1541,LinkNYC - Citybridge,46-01 58 Street,40.74,-73.91,Outdoor Kiosk,Queens,Woodside,11377.0
1542,LinkNYC - Citybridge,25-01 JACKSON AVENUE,40.75,-73.94,Outdoor Kiosk,Queens,Hunters Point-Sunnyside-West Maspeth,11101.0
1543,LinkNYC - Citybridge,23-03 Jackson Ave,40.75,-73.95,Outdoor Kiosk,Queens,Hunters Point-Sunnyside-West Maspeth,11101.0
1544,LinkNYC - Citybridge,48-15 11th St,40.74,-73.95,Outdoor Kiosk,Queens,Hunters Point-Sunnyside-West Maspeth,11101.0
1545,LinkNYC - Citybridge,69-02 Queens Blvd,40.74,-73.9,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11377.0
