id,Address,City,County,Latitude,Longitude,Postal Code,State Code,State
181,4001 Phoenix Ave,Fort Smith,Sebastian,35.34,-94.39,72903.0,AR,Arkansas
182,102 Richmond Ranch Rd,Texarkana,Bowie,33.46,-94.09,75503.0,TX,Texas
183,3545 N Shiloh Dr,Fayetteville,Washington,36.12,-94.16,72703.0,AR,Arkansas
184,1200 Branson Hills Pkwy,Branson,Taney,36.67,-93.23,65616.0,MO,Missouri
185,2404 Promenade Blvd,Rogers,Benton,36.3,-94.17,72758.0,AR,Arkansas
186,2735 Beene Blvd,Bossier City,Bossier Parish,32.56,-93.71,71111.0,LA,Louisiana
187,7110 Youree Dr,Shreveport,Caddo Parish,32.44,-93.72,71105.0,LA,Louisiana
188,1825 E Primrose St,Springfield,Greene,37.15,-93.26,65804.0,MO,Missouri
189,3092 N Eastman Rd,Longview,Gregg,32.55,-94.72,75605.0,TX,Texas
190,3151 E 7th St,Joplin,Jasper,37.09,-94.47,64801.0,MO,Missouri
191,1150 E Hillside Dr,Broken Arrow,Tulsa,36.07,-95.78,74012.0,OK,Oklahoma
192,10711 E 71st St,Tulsa,Tulsa,36.06,-95.86,74133.0,OK,Oklahoma
193,10019 S Memorial Dr,Tulsa,Tulsa,36.02,-95.88,74133.0,OK,Oklahoma
194,1701 S Yale Ave,Tulsa,Tulsa,36.14,-95.92,74112.0,OK,Oklahoma
195,9010 N 121st East Ave,Owasso,Tulsa,36.29,-95.84,74055.0,OK,Oklahoma
196,7437 S Olympia Ave W,Tulsa,Tulsa,36.06,-96.0,74132.0,OK,Oklahoma
197,7003 S Broadway Ave,Tyler,Smith,32.27,-95.31,75703.0,TX,Texas
198,2206 Memorial Dr,Alexandria,Rapides Parish,31.28,-92.46,71301.0,LA,Louisiana
199,4160 Town Center Rd,Sherman,Grayson,33.68,-96.61,75092.0,TX,Texas
200,919 Highway D,Osage Beach,Miller,38.16,-92.6,65065.0,MO,Missouri
201,7305 SE 29th St,Midwest City,Oklahoma,35.44,-97.4,73110.0,OK,Oklahoma
202,1200 E 2nd St,Edmond,Oklahoma,35.65,-97.46,73034.0,OK,Oklahoma
203,1400 24th Ave NW,Norman,Cleveland,35.24,-97.48,73069.0,OK,Oklahoma
204,720 SW 19TH ST,Moore,Cleveland,35.32,-97.5,73160.0,OK,Oklahoma
205,13924 N Pennsylvania Ave,Oklahoma City,Oklahoma,35.61,-97.55,73134.0,OK,Oklahoma
206,5400 N May Ave,Oklahoma City,Oklahoma,35.52,-97.56,73112.0,OK,Oklahoma
207,8315 N Rockwell Ave,Oklahoma City,Oklahoma,35.56,-97.64,73132.0,OK,Oklahoma
208,1700 Garth Brooks Blvd,Yukon,Canadian,35.48,-97.76,73099.0,OK,Oklahoma
209,2025 N Central Expy,Mckinney,Collin,33.22,-96.64,75070.0,TX,Texas
210,150 E Stacy Rd,Allen,Collin,33.12,-96.66,75002.0,TX,Texas
211,907 W McDermott Dr,Allen,Collin,33.1,-96.68,75013.0,TX,Texas
212,8900 State Highway 121,McKinney,Collin,33.13,-96.73,75070.0,TX,Texas
213,3440 W FM 544,Wylie,Collin,33.01,-96.59,75098.0,TX,Texas
214,4885 Eldorado Pkwy,Frisco,Denton,33.17,-96.84,75033.0,TX,Texas
215,2024 N Rock Rd,Derby,Sedgwick,37.57,-97.24,67037.0,KS,Kansas
216,850 Steger Towne Rd,Rockwall,Rockwall,32.89,-96.47,75032.0,TX,Texas
217,120 W Parker Rd,Plano,Collin,33.04,-96.71,75075.0,TX,Texas
218,3201 Preston Rd,Frisco,Collin,33.1,-96.81,75034.0,TX,Texas
219,5301 N Garland Ave,Garland,Dallas,32.97,-96.65,75040.0,TX,Texas
220,4701 Lakeview Pkwy,Rowlett,Dallas,32.91,-96.56,75088.0,TX,Texas
221,10800 E 21st St N,Wichita,Sedgwick,37.72,-97.21,67206.0,KS,Kansas
222,2200 Dallas Pkwy,Plano,Collin,33.03,-96.83,75093.0,TX,Texas
223,601 S Plano Rd,Richardson,Dallas,32.94,-96.7,75081.0,TX,Texas
224,16731 Coit Rd,Dallas,Dallas,32.98,-96.77,75248.0,TX,Texas
225,4760 State Highway 121,Lewisville,Denton,33.06,-96.89,75056.0,TX,Texas
226,1801 S Loop 288,Denton,Denton,33.19,-97.1,76205.0,TX,Texas
227,1106 E North Ave,Belton,Cass,38.82,-94.52,64012.0,MO,Missouri
228,1629 N Town East Blvd,Mesquite,Dallas,32.81,-96.62,75150.0,TX,Texas
229,13131 Montfort Dr,Dallas,Dallas,32.93,-96.81,75240.0,TX,Texas
230,3730 Belt Line Rd,Addison,Dallas,32.95,-96.85,75001.0,TX,Texas
231,6419 Skillman St,Dallas,Dallas,32.87,-96.75,75231.0,TX,Texas
232,725 Hebron Pkwy,Lewisville,Denton,33.01,-96.97,75057.0,TX,Texas
233,7575 Maple St,Wichita,Sedgwick,37.68,-97.43,67209.0,KS,Kansas
234,6464 E NORTHWEST HWY STE 212,Dallas,Dallas,32.86,-96.75,75214.0,TX,Texas
235,8101 W 151st,Overland Park,Johnson,38.85,-94.68,66223.0,KS,Kansas
236,20255 W 154th St,Olathe,Johnson,38.85,-94.82,66062.0,KS,Kansas
237,5959 Long Prairie Rd,Flower Mound,Denton,33.07,-97.08,75028.0,TX,Texas
238,1201 W 136th St,Kansas City,Jackson,38.88,-94.61,64145.0,MO,Missouri
239,9440 Marsh Ln,Dallas,Dallas,32.86,-96.85,75220.0,TX,Texas
240,2727 N Maize Rd,Wichita,Sedgwick,37.73,-97.46,67205.0,KS,Kansas
241,12200 Blue Valley Pkwy,Overland Park,Johnson,38.91,-94.67,66213.0,KS,Kansas
242,2417 N Haskell Ave,Dallas,Dallas,32.8,-96.79,75204.0,TX,Texas
243,1850 NW Chipman Rd,Lees Summit,Jackson,38.93,-94.41,64081.0,MO,Missouri
244,15345 W 119th St,Olathe,Johnson,38.91,-94.76,66062.0,KS,Kansas
245,7845 N Macarthur Blvd,Irving,Dallas,32.91,-96.96,75063.0,TX,Texas
246,11501 W 97th St,Overland Park,Johnson,38.95,-94.72,66214.0,KS,Kansas
247,735 W Stadium Blvd,Jefferson City,Cole,38.58,-92.21,65109.0,MO,Missouri
248,8509 State Line Rd,Kansas City,Jackson,38.97,-94.61,64114.0,MO,Missouri
249,1101 Ira E Woods Ave,Grapevine,Tarrant,32.93,-97.09,76051.0,TX,Texas
250,3333 W Airport Fwy,Irving,Dallas,32.84,-96.99,75062.0,TX,Texas
251,3201 S Iowa St,Lawrence,Douglas,38.93,-95.26,66046.0,KS,Kansas
