id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
5b867d233ad896e9264f3435f3ea7fcfb47d8faa09bc4d52ccb020e089ef5a2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461e4e664c5669f9efb7953467bec6f0afec2b7a7297ceea538183aede2e58ab,100,100,76,92.77,99.53,99.26,94,98.5,99.55,72,0,95.9,26.52,,,,,,,,,,,,,,,,,76.77,76.77,33,33,,,0,0,,,0,0,76.77,76.77,31.35,31.35
109618978ef5579329c4dca38371b2551e1099f8685886f116950e4354cb6e33,100,100,92,96.83,96.83,96.49,98.51,100,100,95,99.24,100,100,,,,,,,,,,,,,,,,,97.91,97.91,42.08,42.08,,,0,0,,,0,0,97.91,97.91,39.98,39.98
20cd5c14776a716fb4581e0f8659206817b5da6386a19e2f3cde279fc7e42ac5,100,100,94,0,0,100,99,100,100,0,0,0,0,,,,,,,,,,,,,,,,,48.3,48.3,20.76,20.76,,,0,0,,,0,0,48.3,48.3,19.72,19.72
a0a32f5f65da9694b3445a20310cad6cbe39fa3abfe66158e2fb58e9e62a8457,100,100,100,99.27,100,79.51,96.26,100,100,100,100,97.28,97.28,,,,,,,,,,,,,,,,,97.67,97.67,41.98,41.98,,,0,0,,,0,0,97.67,97.67,39.88,39.88
dd9b5b57d6bc9b9cb7731301fc559b16ce4572648c109497a13eeb1dadf1f72c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eeb35d45cd3126cbd680c5546b02215b0ef9f482abab93fdd5937cbdf01324cd,100,100,82,100,100,99,100,100,100,97.51,100,100,100,,,,,,,,,,,,,,,,,97.86,97.86,42.06,42.06,,,0,0,,,0,0,97.86,97.86,39.96,39.96
e7ab73859e7a4a559e334adb69e4a173abc8413c98f036a0ab90d9e1f4e48686,100,100,100,100,100,95.74,95.51,100,100,98.49,100,100,100,,,,,,,,,,,,,,,,,99.24,99.24,42.65,42.65,,,0,0,,,0,0,99.24,99.24,40.52,40.52
73bc0415365fe2389a63cf739c6abeba1395226706c5e8fc6afb7307ea9522e2,100,100,94,52.4,76.67,96.26,95,100,100,95,100,100,100,,,,,,,,,,,,,,,,,93.96,93.96,40.39,40.39,,,0,0,,,0,0,93.96,93.96,38.37,38.37
39a234e2e42af5c231aeeae2b565e826d635b8c405af5850b5303b46edd7361e,100,100,86,94.73,29.53,0,97,98.18,99.55,96.51,0,75.5,0,,,,,,,,,,,,,,,,,64.18,64.18,27.59,27.59,,,0,0,,,0,0,64.18,64.18,26.21,26.21
