id,Year,Category,Nominee
1879,1994.0,Best Album Notes,The Complete Billie Holiday On Verve 1945-1959
1880,1994.0,Best Alternative Music Album,Zooropa
1881,1994.0,Best Arrangement on an Instrumental,Mood Indigo
1882,1994.0,Best Bluegrass Album,Waitin' For The Hard Times To Go
1883,1994.0,Best Chamber Music Performance,"Ives: String Quartets Nos. 1, 2/Barber: String Quartet Op. 11 (American Originals)"
1884,1994.0,Best Classical Album,Bartók: The Wooden Prince & Cantata Profana
1885,1994.0,Best Classical Performance-Instrumental Soloist (without orchestra),Barber: The Complete Solo Piano Music
1886,1994.0,Best Classical Performance-Instrumental Soloist(s) (with orchestra),Berg: Violin Concerto/Rihm: Time Chant
1887,1994.0,Best Classical Vocal Performance,"The Art Of Arleen Auger (Works Of Larsen, Purcell, Schumann, Mozart)"
1888,1994.0,Best Contemporary Blues Album,Feels Like Rain
1889,1994.0,Best Contemporary Composition,Carter: Violin Concerto
1890,1994.0,Best Contemporary Folk Album,Other Voices/Other Room
1891,1994.0,Best Contemporary Jazz Performance (Instrumental),The Road To You
1892,1994.0,Best Contemporary Soul Gospel Album,All Out
1893,1994.0,Best Country Collaboration with Vocals,I Fall To Pieces
1894,1994.0,Best Country Instrumental Performance,Red Wing
1895,1994.0,Best Country Performance by a Duo or Group with Vocal,Hard Workin' Man
1896,1994.0,Best Country Song,Passionate Kisses
1897,1994.0,Best Country Vocal Collaboration,Does He Love You
1898,1994.0,"Best Country Vocal Performance, Female",Passionate Kisses
1899,1994.0,"Best Country Vocal Performance, Male",Ain't That Lonely Yet
1900,1994.0,"Best Engineered Album, Non-Classical",Ten Summoner's Tales
1901,1994.0,"Best Engineered Recording, Classical",Bartók: The Wooden Prince & Cantata Profana
1902,1994.0,Best Gospel Album by a Choir or Chorus,Live...We Come Rejoicing
1903,1994.0,Best Hard Rock Performance,Plush.
1904,1994.0,Best Hard Rock Performance with Vocal,Plush
1905,1994.0,Best Historical Album,The Complete Billie Holiday On Verve 1945-1959
1906,1994.0,Best Instrumental Arrangement Accompanying Vocal(s),When I Fall In Love
1907,1994.0,Best Instrumental Composition,Forever In Love
1908,1994.0,Best Instrumental Composition Written for a Motion Picture or for Television,Aladdin
1909,1994.0,"Best Jazz Instrumental Performance, Individual or Group","So Near, So Far (Musings For Miles)"
1910,1994.0,Best Jazz Instrumental Solo,Miles Ahead
1911,1994.0,Best Jazz Vocal Performance,Take A Look
1912,1994.0,Best Large Jazz Ensemble Performance,Miles And Quincy Live At Montreux
1913,1994.0,Best Latin Pop Album,Aries
1914,1994.0,Best Metal Performance with Vocal,I Don't Want To Change The World
1915,1994.0,Best Mexican-American Album,Selena Live!.
1916,1994.0,Best Music Video - Long Form,Sting: Ten Summoners Tales
1917,1994.0,"Best Music Video, Short Form",Peter Gabriel: Steam
1918,1994.0,Best Musical Album for Children,Aladdin
1919,1994.0,Best Musical Show Album,The Who's Tommy
1920,1994.0,Best New Age Album(artist),Spanish Angel
1921,1994.0,Best New Artist,Toni Braxton
1922,1994.0,Best Opera Recording,Handel: Semele
1923,1994.0,Best Orchestral Performance,Bartók: The Wooden Prince
1924,1994.0,Best Performance of a Choral Work,Bartók: Cantata Profana
1925,1994.0,Best Polka Album,Accordionally Yours
1926,1994.0,Best Pop Performance by a Duo or Group with Vocals,A Whole New World (Aladdin's Theme).
1927,1994.0,Best Pop Vocal Performance - Female,I Will Always Love You.
1928,1994.0,"Best Pop Vocal Performance, Male",If I Ever Lose My Faith In You
1929,1994.0,Best Pop/Contemporary Gospel Album,The Live Adventure
1930,1994.0,Best R&B Performance by a Duo or Group with Vocal,No Ordinary Love
1931,1994.0,Best R&B Song,That's the Way Love Goes
1932,1994.0,Best R&B Vocal Performance - Female,Another Sad Love Song.
1933,1994.0,"Best R&B Vocal Performance, Female",Another Sad Love Song
1934,1994.0,Best Rap Performance by a Duo or Group,Rebirth of Slick (Cool Like Dat).
1935,1994.0,Best Rap Solo Performance,Let Me Ride
1936,1994.0,Best Recording Package,The Complete Billie Holiday On Verve 1945-1959
1937,1994.0,Best Reggae Album,Bad Boys
1938,1994.0,Best Rhythm & Blues Song,That's The Way Love Goes
1939,1994.0,Best Rock Gospel Album,Free At Last
1940,1994.0,Best Rock Instrumental Performance,Sofa
1941,1994.0,Best Rock Performance by a Duo or Group with Vocal,Livin' On The Edge
1942,1994.0,Best Rock Song,Runaway Train
1943,1994.0,"Best Rock Vocal Performance, Solo",I'd Do Anything For Love (But I Won't Do That)
1944,1994.0,Best Song Written Specifically for a Motion Picture or for Television,A Whole New World.
1945,1994.0,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",Good News
1946,1994.0,Best Spoken Comedy Album,They're All Gonna Laugh At You (Album)
1947,1994.0,Best Spoken Word Album for Children,Audrey Hepburn's Enchanted Tales.
1948,1994.0,Best Spoken Word or Non-musical Album,On The Pulse Of Morning
1949,1994.0,Best Traditional Folk Album,The Celtic Harp
1950,1994.0,Best Traditional Pop Vocal Performance,Steppin' Out
1951,1994.0,Best Traditional Soul Gospel Album,Stand Still
1952,1994.0,Best Tropical Latin Album,Mi Tierra
1953,1994.0,Best World Music Album,A Meeting By The River
1954,1994.0,Classical Producer of the Year,Judith Sherman (artist)
1955,1994.0,Producer of the Year,David Foster (artist)
1956,1994.0,Record of the Year,I Will Always Love You.
1957,1994.0,Song of the Year,A Whole New World (Aladdin's Theme).
1958,1995.0,Album of the Year,MTV Unplugged
1959,1995.0,Best Album Notes,Louis Armstrong - Portrait Of The Artist As A Young Man 1923-1934
1960,1995.0,Best Alternative Music Performance,Dookie
1961,1995.0,Best Bluegrass Album,The Great Dobro Sessions(Various Artists)
1962,1995.0,Best Chamber Music Performance,Beethoven/Mozart: Quintets (Chicago-Berlin)
1963,1995.0,Best Choral Performance,Berlioz: Messe solennelle
1964,1995.0,Best Classical Album,"Bartók: Concerto For Orchestra; Four Orchestral Pieces, Op. 12"
1965,1995.0,Best Classical Contemporary Composition,Albert: Cello Concerto
1966,1995.0,Best Classical Vocal Performance,"The Impatient Lover - Italian Songs By Beethoven, Schubert, Mozart"
1967,1995.0,Best Contemporary Blues Album,Father Father
1968,1995.0,Best Contemporary Folk Album,American Recordings
1969,1995.0,Best Contemporary Jazz Performance,Out Of The Loop
1970,1995.0,Best Contemporary Soul Gospel Album,Join The Band
1971,1995.0,Best Country Album,Stones In The Road
1972,1995.0,Best Country Instrumental Performance,Young Thing
1973,1995.0,Best Country Performance by a Duo or Group with Vocal,Blues For Dixie
1974,1995.0,Best Country Song,I Swear
1975,1995.0,Best Country Vocal Collaboration,I Fall To Pieces
1976,1995.0,"Best Engineered Album, Non-Classical",Longing In Their Hearts
1977,1995.0,Best Female Country Vocal Performance,Shut Up And Kiss Me
1978,1995.0,Best Female Pop Vocal Performance,All I Wanna Do
1979,1995.0,Best Female R&B Vocal Performance,Breathe Again.
1980,1995.0,Best Female Rock Vocal Performance,Come To My Window
1981,1995.0,Best Gospel Album by a Choir or Chorus,Live In Atlanta At Morehouse College
1982,1995.0,Best Hard Rock Performance,Black Hole Sun
1983,1995.0,Best Historical Album,The Complete Ella Fitzgerald Song Books On Verve
1984,1995.0,Best Instrumental Arrangement,Three Cowboy Songs
1985,1995.0,Best Instrumental Arrangement with Accompanying Vocals,Circle of Life / Nants' Inginyama
1986,1995.0,Best Instrumental Composition,African Skies
1987,1995.0,Best Instrumental Composition Written for a Motion Picture or for Television,Schindler's List
1988,1995.0,Best Instrumental Soloist Performance (with orchestra),"The New York Album - Works Of Albert, Bartok & Bloch"
1989,1995.0,Best Instrumental Soloist Performance Without Orchestra,"Haydn: Piano Sonatas, Nos. 32, 47, 53, 59"
1990,1995.0,"Best Jazz Instrumental Performance, Individual or Group",A Tribute To Miles
1991,1995.0,Best Jazz Instrumental Solo,Prelude To A Kiss
1992,1995.0,Best Jazz Vocal Performance,Mystery Lady - Songs Of Billie Holiday
1993,1995.0,Best Large Jazz Ensemble Performance,Journey
1994,1995.0,Best Latin Jazz Performance,Danzon
1995,1995.0,Best Latin Pop Performance,Segundo Romance
1996,1995.0,Best Male Country Vocal Performance,When Love Finds You
1997,1995.0,Best Male Pop Vocal Performance,Can You Feel the Love Tonight.
1998,1995.0,Best Male R&B Vocal Performance,When Can I See You
1999,1995.0,Best Male Rock Vocal Performance,Streets Of Philadelphia
2000,1995.0,Best Metal Performance,Spoonman
2001,1995.0,Best Mexican-American Performance,Recuerdo A Javier Solis
2002,1995.0,Best Music Video - Long Form,U2: Zoo TV Live from Sydney
2003,1995.0,"Best Music Video, Short Form",The Rolling Stones: Love Is Strong
2004,1995.0,Best Musical Album for Children,The Lion King
2005,1995.0,Best Musical Show Album,Passion
2006,1995.0,Best New Age Album,Prayer For The Wild Things
2007,1995.0,Best New Artist,Sheryl Crow
2008,1995.0,Best Opera Recording,Floyd: Susannah
2009,1995.0,Best Orchestral Performance,"Bartók: Concerto For Orchestra: Four Orchestral Pieces, Op. 12"
2010,1995.0,Best Polka Album,Music And Friends
2011,1995.0,Best Pop Album,Longing In Their Hearts
2012,1995.0,Best Pop Instrumental Performance,Cruisin'
2013,1995.0,Best Pop Performance by a Duo or Group with Vocal,I Swear
2014,1995.0,Best Pop Vocal Collaboration,Funny How Time Slips Away
2015,1995.0,Best Pop/Contemporary Gospel Album,Mercy
2016,1995.0,Best R&B Album,II
2017,1995.0,Best R&B Performance by a Duo or Group with Vocal,I'll Make Love To You
2018,1995.0,Best Rap Performance by a Duo or Group,None Of Your Business
2019,1995.0,Best Rap Solo Performance,U.N.I.T.Y.
2020,1995.0,Best Recording Package,Tribute To The Music Of Bob Wills & The Texas Playboys
2021,1995.0,Best Recording Package - Boxed,The Complete Ella Fitzgerald Songbooks
2022,1995.0,Best Reggae Album,Crucial! Roots Classics
2023,1995.0,Best Rhythm & Blues Song,I'll Make Love To You
2024,1995.0,Best Rock Album,Voodoo Lounge
2025,1995.0,Best Rock Gospel Album,Wake-Up Call
2026,1995.0,Best Rock Instrumental Performance,Marooned
2027,1995.0,Best Rock Performance by a Duo or Group with Vocal,Crazy
2028,1995.0,Best Rock Song,Streets Of Philadelphia
2029,1995.0,Best Song Written Specifically for a Motion Picture or for Television,Streets of Philadelphia.
2030,1995.0,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",I Know Who Holds Tomorrow
2031,1995.0,Best Spoken Comedy Album,Live From Hell
2032,1995.0,Best Spoken Word Album for Children,The Lion King Read-Along
2033,1995.0,Best Spoken Word or Non-Musical Album,Get In The Van - On The Road With Black Flag
2034,1995.0,Best Traditional Blues Album,From The Cradle
2035,1995.0,Best Traditional Folk Album,World Gone Wrong
2036,1995.0,Best Traditional Pop Vocal Performance,MTV Unplugged
2037,1995.0,Best Traditional Soul Gospel Album,Songs Of The Church - Live In Memphis
2038,1995.0,Best Tropical Latin Performance,Master Sessions Volume 1
2039,1995.0,Best World Music Album,Talking Timbuktu
2040,1995.0,Classical Producer of the Year,Andrew Cornall (artist)
2041,1995.0,Producer of the Year,Don Was (artist)
2042,1995.0,Record of the Yearw,All I Wanna Do
2043,1995.0,Song of the Year,Streets Of Philadelphia
2044,1996.0,Album of the Year,Jagged Little Pill
2045,1996.0,Best Album Notes,"The Complete Stax/Volt Soul Singles, Vol. 3: 1972-1975(Various Artists)"
2046,1996.0,Best Alternative Music Performance,MTV Unplugged In New York
2047,1996.0,Best Bluegrass Album,Unleashed
2048,1996.0,Best Chamber Music Performance,Brahms/Beethoven/Mozart: Clarinet Trios
2049,1996.0,Best Choral Performance,Brahms: Ein Deutsches Requiem
2050,1996.0,Best Classical Album,Debussy: La Mer; Nocturnes; Jeux
2051,1996.0,Best Classical Contemporary Composition,Messiaen: Concert A Quatre
2052,1996.0,Best Classical Engineered Recording,Bartók: Concerto For Orchestra; Kossuth - Symphonic Poem
2053,1996.0,Best Classical Vocal Performance,The Echoing Air - The Music Of Henry Purcell
2054,1996.0,Best Contemporary Blues Album,Slippin' In
2055,1996.0,Best Contemporary Folk Album,Wrecking Ball
2056,1996.0,Best Contemporary Jazz Performance,We Live Here
2057,1996.0,Best Contemporary Soul Gospel Album,Alone In His Presence
2058,1996.0,Best Country Album,The Woman In Me
2059,1996.0,Best Country Collaboration with Vocals,Somewhere In The Vicinity Of The Heart
2060,1996.0,Best Country Instrumental Performance,Hightower
2061,1996.0,Best Country Performance by a Duo or Group with Vocal,Here Comes The Rain
2062,1996.0,Best Country Song,Go Rest High On That Mountain
2063,1996.0,"Best Engineered Album, Non-Classical",Wildflowers
2064,1996.0,Best Female Country Vocal Performance,"Baby, Now That I've Found You"
2065,1996.0,Best Female Pop Vocal Performance,No More I Love You's.
2066,1996.0,Best Female R&B Vocal Performance,I Apologize
2067,1996.0,Best Female Rock Vocal Performance,You Oughta Know
2068,1996.0,Best Gospel Album by a Choir or Chorus,Praise Him - Live!
2069,1996.0,Best Hard Rock Performance,Spin The Black Circle
2070,1996.0,Best Historical Album,The Heifetz Collection(Various Artists)
2071,1996.0,Best Instrumental Arrangement,Lament
2072,1996.0,Best Instrumental Arrangement with Accompanying Vocal(s),I Get A Kick Out Of You
2073,1996.0,Best Instrumental Composition,A View From The Side
2074,1996.0,Best Instrumental Composition Written for a Motion Picture or for Television,Crimson Tide.
2075,1996.0,Best Instrumental Soloist Performance (without orchestra),Schubert: Piano Sonatas (B Flat Major And A Major)
2076,1996.0,Best Instrumental Soloist(s) Performance (with orchestra),"The American Album - Works Of Bernstein, Barber, Foss"
2077,1996.0,"Best Jazz Instrumental Performance, Individual or Group",Infinity
2078,1996.0,Best Jazz Instrumental Solo,Impressions
2079,1996.0,Best Jazz Vocal Performance,An Evening With Lena Horne
2080,1996.0,Best Large Jazz Ensemble Performance,All Blues
2081,1996.0,Best Latin Pop Performance,Amor
2082,1996.0,Best Male Country Vocal Performance,Go Rest High On That Mountain
2083,1996.0,Best Male Pop Vocal Performance,Kiss From a Rose
2084,1996.0,Best Male R&B Vocal Performance,For Your Love
2085,1996.0,Best Male Rock Vocal Performance,You Don't Know How It Feels
2086,1996.0,Best Metal Performance,Happiness In Slavery
2087,1996.0,Best Mexican-American/Tejano Music Performance,Flaco Jimenez
2088,1996.0,Best Music Video - Long Form,Peter Gabriel's Secret World
2089,1996.0,"Best Music Video, Long Form",Secret World Live
2090,1996.0,"Best Music Video, Short Form",Michael Jackson Feat. Janet Jackson: Scream
2091,1996.0,Best Musical Album for Children,Sleepy Time Lullabys
2092,1996.0,Best New Age Album,Forest
2093,1996.0,Best New Artist,Hootie & the Blowfish
2094,1996.0,Best Opera Recording,Berlioz: Les Troyens
2095,1996.0,Best Orchestral Performance,Debussy: La Mer
2096,1996.0,Best Polka Album,I Love To Polka
2097,1996.0,Best Pop Album,Turbulent Indigo
2098,1996.0,Best Pop Collaboration with Vocals,Have I Told You Lately That I Love You?
2099,1996.0,Best Pop Instrumental Performance,Mariachi Suite
2100,1996.0,Best Pop Performance by a Duo or Group with Vocals,Let Her Cry
2101,1996.0,Best Pop/Contemporary Gospel Album,I'll Lead You Home
2102,1996.0,Best R&B Performance by a Duo or Group with Vocal,Creep
2103,1996.0,Best Rap Album,Poverty's Paradise.
2104,1996.0,Best Rap Performance by a Duo or Group,I'll Be There for You/You're All I Need to Get By .
2105,1996.0,Best Rap Solo Performance,Gangsta's Paradise
2106,1996.0,Best Recording Package,Turbulent Indigo
2107,1996.0,Best Recording Package - Boxed,Civilization Phaze III
2108,1996.0,Best Reggae Album,Boombastic
2109,1996.0,Best Rhythm & Blues Song,For Your Love
2110,1996.0,Best Rock Album,Jagged Little Pill
2111,1996.0,Best Rock Gospel Album,Lesson Of Love
2112,1996.0,Best Rock Instrumental Performance,Jessica
2113,1996.0,Best Rock Performance by a Duo or Group with Vocal,Run-Around
2114,1996.0,Best Rock Song,You Oughta Know
2115,1996.0,Best Song Written Specifically for a Motion Picture or for Television,Colors of the Wind.
2116,1996.0,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",Amazing Grace - A Country Salute To Gospel(Various Artists)
2117,1996.0,Best Spoken Comedy Album,Crank(y) Calls.
2118,1996.0,Best Spoken Word Album for Children,Prokofiev: Peter And The Wolf
2119,1996.0,Best Spoken Word or Non-musical Album,Phenomenal Woman
2120,1996.0,Best Traditional Blues Album,Chill Out
2121,1996.0,Best Traditional Folk Album,South Coast
2122,1996.0,Best Traditional Pop Vocal Performance,Duets II
2123,1996.0,Best Traditional Soul Gospel Album,Shirley Caesar Live - He Will Come
2124,1996.0,Best Tropical Latin Performance,Abriendo Puertas
2125,1996.0,Best World Music Album,Boheme
2126,1996.0,Classical Producer of the Year,Steven Epstein (artist)
2127,1996.0,Producer of the Year,Babyface
2128,1996.0,Record of the Year,Kiss From a Rose
2129,1996.0,Song of the Year,Kiss From a Rose
2130,1997.0,Album of the Year,Falling Into You
2131,1997.0,Best Album Notes,The Complete Columbia Studio Recordings
2132,1997.0,Best Alternative Music Performance,Odelay
2133,1997.0,Best Bluegrass Album,True Life Blues - The Songs Of Bill Monroe(Various Artists)
2134,1997.0,Best Chamber Music Performance,Corigliano: String Quartet
2135,1997.0,Best Choral Performance,Walton: Belshazzar's Feast
2136,1997.0,Best Classical Album,Corigliano: Of Rage And Remembrance
2137,1997.0,Best Classical Contemporary Composition,Corigliano: String Quartet
2138,1997.0,Best Classical Engineered Recording,Copland: Dance Symphony; Short Symphony; Organ Symphony
2139,1997.0,Best Classical Vocal Performance,"Opera Arias - Works Of Mozart, Wagner, Borodin"
2140,1997.0,Best Contemporary Blues Album,Just Like You
2141,1997.0,Best Contemporary Folk Album,The Ghost Of Tom Joad
2142,1997.0,Best Contemporary Jazz Performance,High Life
2143,1997.0,Best Contemporary Soul Gospel Album,Whatcha Lookin' 4
2144,1997.0,Best Country Album,The Road To Ensenada
2145,1997.0,Best Country Collaboration with Vocals,High Lonesome Sound
2146,1997.0,Best Country Instrumental Performance,Jam Man
2147,1997.0,Best Country Song,Blue
2148,1997.0,Best Country Vocal Performance - Female,How Do I Live
2149,1997.0,Best Country Vocal Performance by a Duo or Group,My Maria
2150,1997.0,Best Dance Recording,Carry On
2151,1997.0,"Best Engineered Album, Non-Classical",Q's Jook Joint
2152,1997.0,Best Female Country Vocal Performance,Blue
2153,1997.0,Best Female Pop Vocal Performance,Un-Break My Heart.
2154,1997.0,Best Female R&B Vocal Performance,You're Makin' Me High.
2155,1997.0,Best Female Rock Vocal Performance,If It Makes You Happy
2156,1997.0,Best Gospel Album by a Choir or Chorus,Just A Word
2157,1997.0,Best Hard Rock Performance,Bullet With Butterfly Wings
2158,1997.0,Best Historical Album,The Complete Columbia Studio Recordings
2159,1997.0,Best Instrumental Arrangement,An American Symphony (Mr. Holland's Opus)
2160,1997.0,Best Instrumental Arrangement with Accompanying Vocal(s),When I Fall In Love
2161,1997.0,Best Instrumental Composition,Manhattan (Island Of Lights And Love)
2162,1997.0,Best Instrumental Composition Written for a Motion Picture or for Television,Independence Day.
2163,1997.0,Best Instrumental Soloist Performance (without orchestra),"The Romantic Master - Works Of Saint-Saens, Handel"
2164,1997.0,Best Instrumental Soloist(s) Performance (with orchestra),Bartók: The Three Piano Concertos
2165,1997.0,"Best Jazz Instrumental Performance, Individual or Group",Tales From The Hudson
2166,1997.0,Best Jazz Instrumental Solo,Cabin Fever
2167,1997.0,Best Jazz Vocal Performance,New Moon Daughter
2168,1997.0,Best Large Jazz Ensemble Performance,Live At Manchester Craftsmen's Guild
2169,1997.0,Best Latin Jazz Performance,Portraits Of Cuba
2170,1997.0,Best Latin Pop Performance,Enrique Iglesias
2171,1997.0,Best Male Country Vocal Performance,Worlds Apart
2172,1997.0,Best Male Pop Vocal Performancea,Change The World
2173,1997.0,Best Male R&B Vocal Performance,Your Secret Love
2174,1997.0,Best Male Rock Vocal Performance,Where It's At
2175,1997.0,Best Metal Performance,Tire Me
2176,1997.0,Best Mexican-American/Tejano Music Performance,Un Millon De Rosas
2177,1997.0,Best Music Video - Long Form,"John Lennon was not nominated, having died in 1980."
2178,1997.0,"Best Music Video, Short Form","John Lennon was not nominated, having died in 1980."
2179,1997.0,Best Musical Album for Children,Dedicated To The One I Love
2180,1997.0,Best Musical Show Album,Riverdance(Various Artists)
2181,1997.0,Best New Age Album,The Memory Of Trees
2182,1997.0,Best New Artist,LeAnn Rimes
2183,1997.0,Best Opera Recording,Britten: Peter Grimes
2184,1997.0,Best Orchestral Performance,Prokofiev: Romeo And Juliet (Scenes From The Ballet)
2185,1997.0,Best Polka Album,Polka! All Night Long
2186,1997.0,Best Pop Album,Falling Into You
2187,1997.0,Best Pop Collaboration with Vocals,When I Fall In Love
2188,1997.0,Best Pop Instrumental Performance,The Sinister Minister
2189,1997.0,Best Pop Performance by a Duo or Group with Vocal,Free As A Bird
2190,1997.0,Best Pop/Contemporary Gospel Album,Tribute - The Songs Of Andrae Crouch(Various Artists)
2191,1997.0,Best R&B Album,Words
2192,1997.0,Best R&B Performance by a Duo or Group with Vocal,Killing Me Softly With His Song
2193,1997.0,Best Rap Album,The Score.
2194,1997.0,Best Rap Performance by a Duo or Group,Tha Crossroads
2195,1997.0,Best Rap Solo Performance,Hey Lover
2196,1997.0,Best Recording Package,Ultra-Lounge (Leopard Skin Sampler)(Various Artists)
2197,1997.0,Best Recording Package - Boxed,The Complete Columbia Studio Recordings
2198,1997.0,Best Reggae Album,Hall Of Fame - A Tribute To Bob Marley's 50th Anniversary
2199,1997.0,Best Rhythm & Blues Song,Exhale (Shoop Shoop)
2200,1997.0,Best Rock Album,Sheryl Crow
2201,1997.0,Best Rock Gospel Album,Jesus Freak
2202,1997.0,Best Rock Instrumental Performance,SRV Shuffle
2203,1997.0,Best Rock Performance by a Duo or Group with Vocal,So Much To Say
2204,1997.0,Best Rock Song,For 'Give Me One Reason'
2205,1997.0,Best Small Ensemble Performance (with or without conductor),Boulez: ...Explosante-Fixe...
2206,1997.0,Best Song Written Specifically for a Motion Picture or for Television,Because You Loved Me (Theme From Up Close & Personal)
2207,1997.0,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",I Love To Tell The Story - 25 Timeless Hymns
2208,1997.0,Best Spoken Comedy Album,Rush Limbaugh Is A Big Fat Idiot
2209,1997.0,Best Spoken Word Album for Children,Stellaluna
2210,1997.0,Best Spoken Word or Non-musical Album,It Takes a Village
2211,1997.0,Best Traditional Blues Album,Deep In The Blues
2212,1997.0,Best Traditional Folk Album,Pete
2213,1997.0,Best Traditional Pop Vocal Performance,Here's To The Ladies
2214,1997.0,Best Traditional Soul Gospel Album,Face To Face
2215,1997.0,Best Tropical Latin Performance,La Rosa De Los Vientos
2216,1997.0,Best World Music Album,Santiago
2217,1997.0,Classical Producer of the Year,Joanna Nickrenz (artist)
2218,1997.0,Producer of the Year,Kenneth 'Babyface' Edmonds (artist)
2219,1997.0,Record of the Year,Change The World
2220,1997.0,Song of the Year,Change The World
2221,1998.0,Album of the Year,Time Out Of Mind
2222,1998.0,Best Album Notes,Anthology Of American Folk Music - 1997 Expanded Edition (Various Artists)
2223,1998.0,Best Alternative Music Performance,Ok Computer
2224,1998.0,Best Bluegrass Album,So Long So Wrong
2225,1998.0,Best Boxed Recording Package,Beg Scream And Shout! - The Big Ol' Box Of '60s Soul  (Various Artists)
2226,1998.0,Best Chamber Music Performance,Beethoven: The String Quartets
2227,1998.0,Best Choral Performance,Adams: Harmonium/Rachmaninoff: The Bells
2228,1998.0,Best Classical Album,"Premieres - Cello Concertos (Works Of Danielpour, Kirchner, Rouse)"
2229,1998.0,Best Classical Contemporary Composition,Adams: El Dorado
2230,1998.0,Best Classical Vocal Performance,"An Italian Songbook - Works Of Bellini, Donizetti, Rossini"
2231,1998.0,Best Contemporary Blues Album,Señor Blues
2232,1998.0,Best Contemporary Folk Album,Time Out Of Mind
2233,1998.0,Best Contemporary Jazz Performance,Into The Sun
2234,1998.0,Best Contemporary Soul Gospel Album,Brothers
2235,1998.0,Best Country Album,Unchained
2236,1998.0,Best Country Collaboration with Vocals,In Another's Eyes
2237,1998.0,Best Country Instrumental Performance,Little Liza Jane
2238,1998.0,Best Country Performance by a Duo or Group with Vocal,Looking In The Eyes Of Love
2239,1998.0,Best Country Song,Butterfly Kisses
2240,1998.0,Best Dance Recording,Carry On
2241,1998.0,"Best Engineered Album, Classical",Copland: The Music Of America (Fanfare For The Common Man; Rodeo)
2242,1998.0,"Best Engineered Album, Non-Classical",Hourglass
2243,1998.0,Best Female Country Vocal Performance,How Do I Live
2244,1998.0,Best Female Pop Vocal Performance,Building A Mystery
2245,1998.0,Best Female R&B Vocal Performance,On & On
2246,1998.0,Best Female Rock Vocal Performance,Criminal
2247,1998.0,Best Gospel Choir or Chorus Album,God's Property From Kirk Franklin's Nu Nation
2248,1998.0,Best Hard Rock Performance,The End Is The Beginning Is The End
2249,1998.0,Best Historical Album,Anthology Of American Folk Music - 1997 Expanded Edition (Various Artists)
2250,1998.0,Best Instrumental Arrangement,"Straight, No Chaser"
2251,1998.0,Best Instrumental Arrangement Accompanying Vocal(s),Cotton Tail
2252,1998.0,Best Instrumental Composition,Aung San Suu Kyi
2253,1998.0,Best Instrumental Composition Written for a Motion Picture or for Television,For the main theme.
2254,1998.0,Best Instrumental Soloist Performance (without orchestra),Bach: Suites For Solo Cello Nos. 1-6
2255,1998.0,Best Instrumental Soloist(s) Performance (with orchestra),"Premieres - Cello Concertos (Works Of Danielpour, Kirchner, Rouse)"
2256,1998.0,"Best Jazz Instrumental Performance, Individual or Group",Beyond The Missouri Sky
2257,1998.0,Best Jazz Instrumental Solo,Stardust
2258,1998.0,Best Jazz Vocal Performance,Dear Ella
2259,1998.0,Best Large Jazz Ensemble Performance,Joe Henderson Big Band
2260,1998.0,Best Latin Jazz Performance,Habana
2261,1998.0,Best Latin Pop Performance,Romances
2262,1998.0,Best Latin Rock/Alternative Performance,Fabulosos Calavera
2263,1998.0,Best Long Form Music Video,Alanis Morissette: Jagged Little Pill - Live
2264,1998.0,Best Male Country Vocal Performance,Pretty Little Adriana
2265,1998.0,Best Male Pop Vocal Performance,Candle In The Wind 1997
2266,1998.0,Best Male R&B Vocal Performance,I Believe I Can Fly
2267,1998.0,Best Male Rock Vocal Performance,Cold Irons Bound
2268,1998.0,Best Metal Performance,Aenema
2269,1998.0,Best Mexican-American/Tejano Music Performance,En Tus Manos
2270,1998.0,"Best Music Video, Short Form",Got 'til It's Gone
2271,1998.0,Best Musical Album for Children,All Aboard!
2272,1998.0,Best Musical Show Album,Chicago - The Musical  (Various Artists)
2273,1998.0,Best New Age Album,Oracle
2274,1998.0,Best New Artist,Paula Cole
2275,1998.0,Best Opera Recording,Wagner: Die Meistersinger Von Nurnberg
2276,1998.0,Best Orchestral Performance,Berlioz: Symphonie Fantastique; Tristia
2277,1998.0,Best Polka Album,Living On Polka Time
2278,1998.0,Best Pop Album,Hourglass
2279,1998.0,Best Pop Collaboration with Vocals,Don't Look Back
2280,1998.0,Best Pop Instrumental Performance,Last Dance
2281,1998.0,Best Pop Performance by a Duo or Group with Vocal,Virtual Insanity
2282,1998.0,Best Pop/Contemporary Gospel Album,Much Afraid
2283,1998.0,Best R&B Album,Baduizm
2284,1998.0,Best R&B Performance by a Duo or Group with Vocal,No Diggity
2285,1998.0,Best Rap Album,No Way Out.
2286,1998.0,Best Rap Performance by a Duo or Group,I'll Be Missing You
2287,1998.0,Best Rap Solo Performance,Men In Black
2288,1998.0,Best Recording Package,Titanic (Music as Heard On the Fateful Voyage).
2289,1998.0,Best Reggae Album,Fallen Is Babylon
2290,1998.0,Best Rhythm & Blues Song,I Believe I Can Fly
2291,1998.0,Best Rock Album,Blue Moon Swamp
2292,1998.0,Best Rock Gospel Album,Welcome To The Freak Show - dc Talk Live In Concert
2293,1998.0,Best Rock Instrumental Performance,Block Rockin' Beats
