id,Year,Category,Nominee
265,1966.0,"Best Engineered Recording, Classical",Horowitz At Carnegie Hall - An Historic Return
266,1966.0,Best Folk Recording,An Evening With Belafonte/Makeba
267,1966.0,Best Gospel or Other Religious Recording (Musical),Southland Favorites
268,1966.0,Best Instrumental Arrangement,A Taste Of Honey
269,1966.0,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,Ellington '66
270,1966.0,Best Instrumental Jazz Performance - Small Group or Soloist With Small Group,The In Crowd
271,1966.0,"Best Instrumental Performance, Non-Jazz",A Taste Of Honey
272,1966.0,Best New Artist,Tom Jones
273,1966.0,Best Opera Recording,Berg: Wozzeck
274,1966.0,Best Original Jazz Composition,Jazz Suite On The Mass Texts
275,1966.0,Best Original Score Written for a Motion Picture or Television Show,The Sandpiper
276,1966.0,Best Performance by a Chorus,Anyone For Mozart?
277,1966.0,Best Performance by a Vocal Group,We Dig Mancini
278,1966.0,Best Recording for Children,Dr. Seuss Presents Fox In Sox And Green Eggs And Ham
279,1966.0,Best Rhythm & Blues Recording,Papa's Got A Brand New Bag
280,1966.0,Best Score From an Original Cast Show Album,On A Clear Day
281,1966.0,Best Spoken Word or Drama Recording,John F. Kennedy - As We Remember Him
282,1966.0,"Best Vocal Performance, Female",My Name Is Barbra
283,1966.0,"Best Vocal Performance, Male",It Was A Very Good Year
284,1966.0,Most Promising New Classical Recording Artist,Bach: Goldberg Variations
285,1966.0,Record of the Year,A Taste Of Honey
286,1966.0,Song of the Year,The Shadow Of Your Smile (Love Theme From The Sandpiper)
287,1967.0,Album of the Year,A Man And His Music
288,1967.0,Album of the Year - Classical,Ives: Symphony No. 1 In D Minor
289,1967.0,"Best Album Cover, Photography",Confessions Of A Broken Man
290,1967.0,Best Album Notes,Sinatra At The Sands
291,1967.0,Best Arrangement Accompanying a Vocalist or Instrumentalist,Strangers In The Night
292,1967.0,Best Chamber Music Performance - Instrumental or Vocal,"Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston"
293,1967.0,Best Classical Choral Performance (other than opera),Ives: Music For Chorus
294,1967.0,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)"
295,1967.0,Best Classical Performance - Orchestra,Mahler: Symphony No. 6 In A Minor
296,1967.0,Best Classical Vocal Soloist Performance (with or without orchestra),"Prima Donna (Works Of Barber, Purcell, Etc.)"
297,1967.0,Best Comedy Performance,Wonderfulness
298,1967.0,"Best Contemporary (R&R) Group Performance, Vocal or Instrumental","Monday, Monday"
299,1967.0,Best Contemporary (R&R) Recording,Winchester Cathedral
300,1967.0,Best Contemporary (R&R) Solo Vocal Performance - Male or Female,Eleanor Rigby
301,1967.0,Best Country & Western Recording,Almost Persuaded
302,1967.0,Best Country & Western Song,Almost Persuaded
303,1967.0,Best Country & Western Vocal Performance - Female,Don't Touch Me
304,1967.0,"Best Country & Western Vocal Performance, Male",Almost Persuaded
305,1967.0,Best Engineered Recording - Classical,Wagner: Lohengrin
306,1967.0,Best Engineered Recording - Non-Classical,Strangers In The Night
307,1967.0,Best Folk Recording,Blues In The Street
308,1967.0,Best Instrumental Arrangement,What Now My Love
309,1967.0,Best Instrumental Jazz Performance - Group or Soloist with Group,Goin' Out Of My Head
310,1967.0,Best Instrumental Performance (Other Than Jazz),What Now My Love
311,1967.0,Best Instrumental Theme,Batman Theme
312,1967.0,Best Opera Recording,Wagner: Die Walkure
313,1967.0,Best Original Jazz Composition,In The Beginning God
314,1967.0,Best Original Score Written for a Motion Picture or Television Show,Doctor Zhivago
315,1967.0,Best Performance by a Chorus,Somewhere My Love (Lara's Theme From Dr. Zhivago)
316,1967.0,Best Performance by a Vocal Group,A Man And A Woman
317,1967.0,Best Recording for Children,Dr. Seuss Presents - If I Ran The Zoo And Sleep Book
318,1967.0,"Best Rhythm & Blues Group Performance, Vocal or Instrumental",Hold It Right There
319,1967.0,Best Rhythm & Blues Recording,Crying Time
320,1967.0,"Best Rhythm & Blues Solo Vocal Performance, Male or Female",Crying Time
321,1967.0,Best Sacred Performance,Elvis Presley
322,1967.0,Best Sacred Recording (Musical),Grand Old Gospel
323,1967.0,Best Score From an Original Cast Show Album,Mame
324,1967.0,"Best Spoken Word, Documentary or Drama Recording",Edward R. Murrow - A Reporter Remembers Vol. I The War Years
325,1967.0,"Best Vocal Performance, Female",If He Walked Into My Life
326,1967.0,"Best Vocal Performance, Male",Strangers In The Night
327,1967.0,Record of the Year,Strangers In The Night
328,1967.0,Song of the Year,Michelle
329,1968.0,Album of the Year,Sgt. Pepper's Lonely Hearts Club Band
330,1968.0,"Album of the Year, Classical",Mahler: Symphony No. 8 (Symphony Of A Thousand)
