id,Position,Track Name,Artist,Streams,URL
100,100,Adore You,Harry Styles,286606,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
101,101,lovely (with Khalid),Billie Eilish,285589,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,102,Life Is Good (feat. Drake),Future,282424,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
103,103,Daddy Issues,The Neighbourhood,281724,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
104,104,After Party,Don Toliver,280534,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
105,105,A Holly Jolly Christmas - Single Version,Burl Ives,280330,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
106,106,Midnight Sky,Miley Cyrus,280102,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
107,107,Stay,BTS,279427,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
108,108,If the World Was Ending - feat. Julia Michaels,JP Saxe,277800,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
109,109,Chasin' You,Morgan Wallen,275626,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
110,110,Golden,Harry Styles,274233,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
111,111,Movie (feat. Lil Durk),Megan Thee Stallion,273915,https://open.spotify.com/track/7Ge141qhUeuglcOvgAkWBy
112,112,Drankin N Smokin,Future,273347,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
113,113,Better Together,Luke Combs,273158,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
114,114,Wolves (feat. Post Malone),Big Sean,272152,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
115,115,Righteous,Juice WRLD,271867,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
116,116,HIGHEST IN THE ROOM,Travis Scott,271304,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
117,117,hot girl bummer,blackbear,271279,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
118,118,Star Shopping,Lil Peep,268818,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
119,119,Go Crazy,Chris Brown,267954,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
120,120,Bandit (with YoungBoy Never Broke Again),Juice WRLD,267141,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
121,121,just like magic,Ariana Grande,265585,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
122,122,21,Polo G,265289,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
123,123,No Role Modelz,J. Cole,264654,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
124,124,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,264592,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
125,125,The Christmas Song (Merry Christmas To You),Nat King Cole,262909,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
126,126,Roses - Imanbek Remix,SAINt JHN,261686,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
127,127,Falling,Harry Styles,260181,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
128,128,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,259050,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
129,129,Pretty Heart,Parker McCollum,258614,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
130,130,Dior,Pop Smoke,256560,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
131,131,Cover Me Up,Morgan Wallen,254945,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
132,132,Beautiful Crazy,Luke Combs,254937,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
133,133,ROXANNE,Arizona Zervas,254164,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
134,134,off the table (with The Weeknd),Ariana Grande,253556,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
135,135,Mr Loverman,Ricky Montgomery,249574,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt
136,136,BOP,DaBaby,247876,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
137,137,Ballin' (with Roddy Ricch),Mustard,247605,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
138,138,SAD!,XXXTENTACION,247488,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
139,139,One Of Them Girls,Lee Brice,247074,https://open.spotify.com/track/6uyiyatWPCqC59Mm4rO8xL
140,140,BICHOTA,KAROL G,247029,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
141,141,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,246286,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
142,142,20 Min,Lil Uzi Vert,246282,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
143,143,Sunday Best,Surfaces,244509,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
144,144,Bang!,AJR,243499,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
145,145,July,Noah Cyrus,240145,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
146,146,Party Girl,StaySolidRocky,239950,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
147,147,MIDDLE CHILD,J. Cole,239719,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
148,148,WHATS POPPIN,Jack Harlow,239418,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
149,149,Savage Remix (feat. Beyoncé),Megan Thee Stallion,237667,https://open.spotify.com/track/2Z71PZlOeF9YVze4hy1A1a
150,150,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,237102,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
151,151,Everybody Dies In Their Nightmares,XXXTENTACION,236956,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
152,152,Fuck Love (feat. Trippie Redd),XXXTENTACION,235250,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
153,153,Move On,Lil Tjay,235168,https://open.spotify.com/track/1BPBcKcunC2olMIDEyQejT
154,154,Falling,Trevor Daniel,234407,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
155,155,That’s It,Future,234243,https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD
