id,State,Office,Candidate name and party,General seat,Primary date
156,GA,Representative,Lucy McBath (D),Incumbent,WON
157,GA,Representative,Karen Handel (R),Challenger,WON
158,GA,Representative,Mykel Barthelemy (R),Challenger,Lost
159,GA,Representative,Paulette Smith (R),Challenger,Lost
160,GA,Representative,Renee Unterman (R),Open Seat,Lost
161,GA,Representative,Carolyn Bourdeau (D),Open Seat,Runoff
162,GA,Representative,Brenda Lopez Romero (D),Open Seat,Runoff
163,GA,Representative,Nabilah Islam (D),Open Seat,Lost
164,GA,Representative,Lynne Homrich (R),Open Seat,Lost
165,GA,Representative,Lisa Babbage (R),Open Seat,Lost
166,GA,Representative,Zahra Karinshak (D),Open Seat,Lost
167,GA,Representative,Maria Strickland (R),Open Seat,Lost
168,GA,Representative,Kellie Weeks (R),Open Seat,Lost
169,GA,Representative,Brooke Siskin (D),Open Seat,Runoff
170,GA,Representative,Tabitha Johnson-Green (D),Challenger,WON
171,GA,Representative,Dana Barrett (D),Challenger,WON
172,GA,Representative,Liz Johnson (D),Challenger,WON
173,GA,Representative,Jannquell Peters (D),Challenger in Primary,Lost
174,GA,Representative,Becky E. Hites (R),Challenger,WON
175,GA,Representative,Keisha Sean Waites (D),Challenger in Primary,Runoff
176,GA,Representative,Marjorie Greene (R),Open Seat,Runoff
177,HI,Representative,Nancy Olson (R),Challenger,8/8/2020
178,HI,Representative,Noelle Famera (D),Open Seat,8/8/2020
179,HI,Representative,Elise Hatsuko Kaneshiro (R),Open Seat,8/8/2020
180,HI,Representative,Karla (Bart) Gottschalk (R),Open Seat,8/8/2020
181,HI,Representative,Brenda L. Machado Lee (D),Open Seat,8/8/2020
182,HI,Representative,Emma Jane Avola Fabeck (D),Open Seat,8/8/2020
183,IA,Senate,Joni Ernst (R),Incumbent,WON
184,IA,Senate,Theresa Greenfield (D),Challenger,WON
185,IA,Senate,Kimberly Graham (D),Challenger,Lost
186,IA,Representative,Abby Finkenauer (D),Incumbent,WON
187,IA,Representative,Ashley Hinson (R),Challenger,WON
188,IA,Representative,Rita Hart (D),Open Seat,WON
189,IA,Representative,Mariannette Miller-Meeks (R),Open Seat,WON
190,IA,Representative,Cindy Axne (D),Incumbent,WON
191,ID,Senate,Paulette Jordan (D),Challenger,WON
192,ID,Representative,Staniela Nikolova (D),Challenger,Lost
193,IL,Senate,Peggy Hubbard (R),Challenger,Lost
194,IL,Representative,Sarah Gad (D),Challenger in Primary,Lost
195,IL,Representative,Ameena Matthews (D),Challenger in Primary,Lost
196,IL,Representative,Philanise White (R),Challenger,WON
197,IL,Representative,Robin L. Kelly (D),Incumbent,WON
198,IL,Representative,Theresa Raborn (R),Challenger,WON
199,IL,Representative,Marie Newman (D),Challenger in Primary,WON
200,IL,Representative,Catherine O'Shea (R),Challenger,Lost
201,IL,Representative,Jeanne Ives (R),Challenger,WON
202,IL,Representative,Kina Collins (D),Challenger in Primary,Lost
203,IL,Representative,Kristine Schanbacher (D),Challenger in Primary,Lost
204,IL,Representative,Jan D. Schakowsky (D),Incumbent,WON
205,IL,Representative,Valerie Ramirez Mukherjee (R),Challenger,WON
206,IL,Representative,Rachel Ventura (D),Challenger in Primary,Lost
207,IL,Representative,Betsy Dirksen Londrigan (D),Challenger,WON
208,IL,Representative,Stefanie Smith (D),Challenger,Lost
209,IL,Representative,Lauren Underwood (D),Incumbent,WON
210,IL,Representative,Sue Rezin (R),Challenger,Lost
211,IL,Representative,Catalina Lauf (R),Challenger,Lost
212,IL,Representative,Mary Miller (R),Open Seat,WON
213,IL,Representative,Erika C. Weaver (D),Open Seat,WON
214,IL,Representative,Dani Brzozowski (D),Challenger,WON
215,IL,Representative,Cheri L. Bustos (D),Incumbent,WON
216,IL,Representative,Esther Joy King (R),Challenger,WON
217,IN,Lieutenant Governor,Suzanne Crouch (R),Incumbent,WON
218,IN,Attorney General,Karen Tallian (D),Challenger,6/13/2020*
219,IN,Representative,Mara Candelaria Reardon (D),Open Seat,Lost
220,IN,Representative,Sabrina Haake (D),Open Seat,Lost
221,IN,Representative,Melissa Borom (D),Open Seat,Lost
222,IN,Representative,Carrie Castro (D),Open Seat,Lost
223,IN,Representative,Jackie Swihart Walorski (R),Incumbent,WON
224,IN,Representative,Ellen Marks (D),Challenger,Lost
225,IN,Representative,Pat Hackett (D),Challenger,WON
226,IN,Representative,Veronikka Ziol (D),Challenger,Lost
227,IN,Representative,Jennifer Christie (D),Open Seat,Lost
228,IN,Representative,Christina Hale (D),Open Seat,WON
229,IN,Representative,Dee Thornton (D),Open Seat,Lost
230,IN,Representative,Kelly Mitchell (R),Open Seat,Lost
231,IN,Representative,Beth Henderson (R),Open Seat,Lost
232,IN,Representative,Victoria Spartz (R),Open Seat,WON
233,IN,Representative,Jeannine Lee Lake (D),Challenger,WON
234,IN,Representative,Susan Marie Smith (R),Challenger,WON
235,IN,Representative,Thomasina Marsili (D),Challenger,WON
236,KS,Representative,Michelle de la Isla (D),Challenger,8/4/2020
237,KS,Representative,Sharice Davids (D),Incumbent,8/4/2020
238,KS,Representative,Sara Weir (R),Challenger,8/4/2020
239,KS,Representative,Amanda Adkins (R),Challenger,8/4/2020
240,KS,Representative,Adrienne Vallejo Foster (R),Challenger,8/4/2020
241,KS,Representative,Laura Lombard (D),Challenger,8/4/2020
242,KY,Senate,Amy McGrath (D),Challenger,TCTC
243,KY,Senate,Maggie Jo Hilliard (D),Challenger,TCTC
244,KY,Senate,Mary Ann Tobin (D),Challenger,TCTC
245,KY,Representative,Alexandra Owensby (D),Challenger,TCTC
246,KY,Representative,Shannon Fabert (D),Challenger,TCTC
247,LA,Representative,Lee Ann Dugas (D),Challenger,11/3/2020
248,LA,Representative,Candy Christophe (D),Open Seat,11/3/2020
249,MA,Representative,Tracy Lovvorn (R),Challenger,9/1/2020
250,MA,Representative,Lori Trahan (D),Incumbent,9/1/2020
251,MA,Representative,Ihssane Leckey (D),Open Seat,9/1/2020
252,MA,Representative,Becky Grossman (D),Open Seat,9/1/2020
253,MA,Representative,Jesse Mermell (D),Open Seat,9/1/2020
254,MA,Representative,Julie Hall (R),Open Seat,9/1/2020
255,MA,Representative,Natalia Linos (D),Open Seat,9/1/2020
256,MA,Representative,Katherine M. Clark (D),Incumbent,9/1/2020
257,MA,Representative,Jamie Zahlaway Belsito (D),Challenger in Primary,9/1/2020
258,MA,Representative,Ayanna Pressley (D),Incumbent,9/1/2020
259,MD,Representative,Mia Mason (D),Challenger,WON
260,MD,Representative,Allison Galbraith (D),Challenger,Lost
261,MD,Representative,Jennifer Pingley (D),Challenger,Lost
262,MD,Representative,Genevieve Morris (R),Challenger,Lost
263,MD,Representative,Reba A. Hawkins (R),Challenger,Lost
264,MD,Representative,Sheila Bryant (D),Challenger in Primary,Lost
265,MD,Representative,Kim A. Shelton (D),Challenger in Primary,Lost
266,MD,Representative,Mckayla Wilkes (D),Challenger in Primary,Lost
267,MD,Representative,Briana Urbina (D),Challenger in Primary,Lost
268,MD,Representative,Vanessa Marie Hoffman (D),Challenger in Primary,Lost
269,MD,Representative,Jill Carter (D),Challenger in Primary,Lost
270,MD,Representative,Liz Matory (R),Challenger,Lost
271,MD,Representative,M.J. Madwolf (R),Challenger,Lost
272,MD,Representative,Alicia D. Brown (D),Challenger,Lost
273,MD,Representative,Maya Rockeymoore Cummings (D),Challenger in Primary,Lost
274,MD,Representative,Kim Klacik (R),Challenger,WON
275,MD,Representative,Bridgette L. Cooper (R),Challenger,Lost
276,MD,Representative,Marcia H. Morgan (D),Challenger in Primary,Lost
277,MD,Representative,Lih Young (D),Challenger in Primary,Lost
278,MD,Representative,Patricia Rogers (R),Challenger,Lost
279,ME,Senate,Betsy Sweet (D),Challenger,6/9/2020
280,ME,Representative,Chellie M. Pingree (D),Incumbent,6/9/2020
281,ME,Representative,Adrienne Bennett (R),Challenger,6/9/2020
282,MI,Representative,Linda O'Dell (D),Challenger,8/4/2020
283,MI,Representative,Lynn Afendoulis (R),Challenger,8/4/2020
284,MI,Representative,Elena Oelke (R),Challenger in Primary,8/4/2020
285,MI,Representative,Jen Richardson (D),Challenger,8/4/2020
286,MI,Representative,Gretchen Driskell (D),Challenger,8/4/2020
287,MI,Representative,Elissa Slotkin (D),Incumbent,8/4/2020
288,MI,Representative,Kristina Lyke (R),Challenger,8/4/2020
289,MI,Representative,Kelly Noland (D),Open Seat,8/4/2020
290,MI,Representative,Kimberly Bizon (D),Open Seat,8/4/2020
291,MI,Representative,Lisa McClain (R),Open Seat,8/4/2020
292,MI,Representative,Haley Stevens (D),Incumbent,8/4/2020
293,MI,Representative,Whittney Williams (R),Challenger,8/4/2020
294,MI,Representative,Carmelita Greco (R),Challenger,8/4/2020
295,MI,Representative,Debbie Dingell (D),Incumbent,8/4/2020
296,MI,Representative,Rashida Tlaib (D),Incumbent,8/4/2020
297,MI,Representative,Brenda Jones (D),Challenger in Primary,8/4/2020
298,MI,Representative,Brenda L. Lawrence (D),Incumbent,8/4/2020
299,MN,Senate,Tina Smith (D),Incumbent,8/11/2020
300,MN,Representative,Paula Overby (D),Challenger in Primary,8/11/2020
301,MN,Representative,Angela D. Craig (D),Incumbent,8/11/2020
302,MN,Representative,Betty McCollum (D),Incumbent,8/11/2020
303,MN,Representative,Tiffini Flynn Forslund (D),Challenger in Primary,8/11/2020
304,MN,Representative,Alberder Gillespie (D),Challenger in Primary,8/11/2020
305,MN,Representative,Ilhan Omar (D),Incumbent,8/11/2020
306,MN,Representative,Dalia Al-Aqidi (R),Challenger,8/11/2020
307,MN,Representative,Danielle Stella (R),Challenger,8/11/2020
308,MN,Representative,Tawnja Zahradka (D),Challenger,8/11/2020
309,MN,Representative,Michelle Fischbach (R),Challenger,8/11/2020
310,MN,Representative,Alycia Gruenhagen (D),Challenger in Primary,8/11/2020
311,MN,Representative,Quinn Nystrom (D),Challenger,8/11/2020
