id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1354,Arkansas,1992,46,1,0,0,0,1,35,7,2,0,0,9,100,10,135,7.4
1355,California,1992,25,3,2,0,0,5,40,10,7,0,0,17,80,22,120,18.3
1356,Colorado,1992,5,3,5,0,0,8,35,11,12,0,0,23,65,31,100,31
1357,Connecticut,1992,16,4,3,0,0,7,36,21,15,0,0,36,151,43,187,23
1358,Deleware,1992,37,3,1,0,0,4,21,1,3,0,0,4,41,8,62,12.9
1359,Florida,1992,21,8,2,0,0,10,40,11,9,0,0,20,120,30,160,18.8
1360,Georgia,1992,34,2,1,0,0,3,56,25,6,0,0,31,180,34,236,14.4
1361,Hawaii,1992,8,6,1,0,0,7,25,11,3,0,0,14,51,21,76,27.6
1362,Idaho,1992,7,10,2,0,0,12,42,10,14,0,0,24,84,36,126,28.6
1363,Illinois,1992,22,6,6,0,0,12,59,11,10,0,0,21,118,33,177,18.6
1364,Indiana,1992,26,7,5,0,0,12,50,7,7,0,0,14,100,26,150,17.3
1365,Iowa,1992,32,4,2,0,0,6,50,11,5,0,0,16,100,22,150,14.7
1366,Kansas,1992,9,5,4,0,0,9,40,18,18,0,0,36,125,45,165,27.3
1367,Kentucky,1992,49,1,0,0,0,1,38,3,4,0,0,7,100,8,138,5.8
1368,Louisiana,1992,47,1,0,0,0,1,39,7,2,0,0,9,105,10,144,6.9
1369,Maine,1992,3,6,6,0,0,12,35,33,15,0,0,48,151,60,186,32.3
1370,Maryland,1992,14,9,0,0,0,9,47,30,5,0,0,35,141,44,188,23.4
1371,Massachusetts,1992,23,3,3,0,0,6,40,23,8,0,0,31,160,37,200,18.5
