id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1766,Kansas,1984,18,2,1,0,0,3,40,10,10,0,0,20,125,23,165,13.9
1767,Kentucky,1984,42,2,0,0,0,2,38,7,1,0,0,8,100,10,138,7.2
1768,Louisiana,1984,49,0,0,0,0,0,39,5,0,0,0,5,105,5,144,3.5
1769,Maine,1984,6,4,2,0,0,6,33,21,14,0,0,35,151,41,184,22.3
1770,Maryland,1984,11,2,0,0,0,2,47,29,4,0,0,33,141,35,188,18.6
1771,Massachusetts,1984,24,5,1,0,0,6,40,13,6,1,0,20,160,26,200,13
1772,Michigan,1984,32,1,1,0,0,2,38,10,4,0,0,14,110,16,148,10.8
1773,Minnesota,1984,18,5,4,0,0,9,67,13,6,0,0,19,134,28,201,13.9
1774,Mississippi,1984,50,0,0,0,0,0,52,5,0,0,0,5,122,5,174,2.9
1775,Missouri,1984,25,2,0,0,0,2,34,16,7,0,0,23,163,25,197,12.7
1776,Montana,1984,26,2,1,0,0,3,50,12,4,0,0,16,100,19,150,12.7
1777,Nebraska*,1984,27,0,0,0,0,6,49,0,0,0,0,0,0,6,49,12.2
1778,Nevada,1984,34,1,1,0,0,2,21,2,2,0,0,4,42,6,63,9.5
1779,New Hampshire,1984,1,0,6,0,0,6,24,51,64,0,0,115,400,121,424,28.5
1780,New Jersey,1984,35,2,1,0,0,3,40,5,3,0,0,8,80,11,120,9.2
1781,New Mexico,1984,40,1,2,0,0,3,42,2,4,0,0,6,70,9,112,8
1782,New York,1984,31,4,1,0,0,5,61,16,2,0,0,18,150,23,211,10.9
1783,North Carolina,1984,20,5,0,0,0,5,50,15,3,0,0,18,120,23,170,13.5
1784,North Dakota,1984,33,2,2,0,0,4,53,6,7,0,0,13,106,17,159,10.7
1785,Ohio,1984,37,1,0,0,0,1,33,7,3,0,0,10,99,11,132,8.3
1786,Oklahoma,1984,38,1,0,0,0,1,48,7,4,0,0,11,101,12,149,8.1
1787,Oregon,1984,7,4,2,0,0,6,30,8,6,0,0,14,60,20,90,22.2
1788,Pennsylvania,1984,48,1,0,0,0,1,50,2,7,0,0,9,203,10,253,4
1789,Rhode Island,1984,17,1,8,0,0,9,50,10,3,0,0,13,100,22,150,14.7
1790,South Carolina,1984,44,2,1,0,0,3,46,9,0,0,0,9,124,12,170,7.1
1791,South Dakota,1984,22,1,2,0,0,3,35,2,9,0,0,11,70,14,105,13.3
1792,Tennessee,1984,45,1,0,0,0,1,33,3,5,0,0,8,99,9,132,6.8
1793,Texas,1984,43,0,0,0,0,0,31,9,4,0,0,13,150,13,181,7.2
1794,Utah,1984,36,0,1,0,0,1,29,3,5,0,0,8,75,9,104,8.7
1795,Vermont,1984,12,3,1,0,0,4,30,15,13,0,0,28,150,32,180,17.8
1796,Virginia,1984,41,0,0,0,0,0,40,9,2,0,0,11,100,11,140,7.9
1797,Washington,1984,10,5,3,0,0,8,49,13,7,0,0,20,98,28,147,19
1798,West Virginia,1984,21,3,0,0,0,3,34,14,1,0,0,15,100,18,134,13.4
1799,Wisconsin,1984,9,0,2,0,0,2,33,12,12,0,0,24,99,26,132,19.7
1800,Wyoming,1984,3,2,1,0,0,3,30,11,8,0,0,19,64,22,94,23.4
1801,Alabama,1983,47,0,1,0,0,1,35,5,0,0,0,5,105,6,140,4.3
1802,Alaska,1983,20,1,0,2,0,3,20,2,3,0,0,5,40,8,60,13.3
1803,Arizona,1983,8,2,3,0,0,5,30,5,9,0,0,14,60,19,90,21.1
1804,Arkansas,1983,46,1,0,0,0,1,35,4,2,0,0,6,100,7,135,5.2
1805,California,1983,30,2,0,0,0,2,40,6,6,0,0,12,80,14,120,11.7
1806,Colorado,1983,2,2,3,0,0,5,35,9,11,0,0,20,65,25,100,25
1807,Connecticut,1983,3,6,2,0,0,8,36,16,20,0,0,36,151,44,187,23.5
1808,Deleware,1983,14,2,1,0,0,3,21,3,4,0,0,7,41,10,62,16.1
1809,Florida,1983,13,7,2,0,0,9,40,11,8,0,0,19,120,28,160,17.5
1810,Georgia,1983,39,2,0,0,0,2,56,14,3,0,0,17,180,19,236,8.1
1811,Hawaii,1983,5,3,2,0,0,5,25,9,3,0,0,12,51,17,76,22.4
1812,Idaho,1983,16,4,0,0,0,4,35,3,9,0,0,12,70,16,105,15.2
1813,Illinois,1983,15,4,4,0,0,8,59,6,13,0,0,19,118,27,177,15.3
1814,Indiana,1983,28,2,2,0,0,4,50,6,8,0,0,14,100,18,150,12
1815,Iowa,1983,31,0,1,0,0,1,50,11,5,0,0,16,100,17,150,11.3
1816,Kansas,1983,17,2,1,0,0,3,40,10,11,0,0,21,125,24,165,14.5
1817,Kentucky,1983,42,2,0,0,0,2,38,7,1,0,0,8,100,10,138,7.2
1818,Louisiana,1983,49,0,0,0,0,0,39,3,0,0,0,3,105,3,144,2.1
1819,Maine,1983,6,4,2,0,0,6,33,21,14,0,0,35,151,41,184,22.3
1820,Maryland,1983,10,3,0,0,0,3,47,29,4,0,0,33,141,36,188,19.1
1821,Massachusetts,1983,22,5,1,0,0,6,40,13,6,1,0,20,160,26,200,13
1822,Michigan,1983,32,1,1,0,0,2,38,10,4,0,0,14,110,16,148,10.8
1823,Minnesota,1983,19,5,4,0,0,9,67,13,6,0,0,19,134,28,201,13.9
1824,Mississippi,1983,50,0,0,0,0,0,52,3,0,0,0,3,122,3,174,1.7
1825,Missouri,1983,23,2,0,0,0,2,34,16,7,0,0,23,163,25,197,12.7
1826,Montana,1983,25,2,1,0,0,3,50,12,4,0,0,16,100,19,150,12.7
1827,Nebraska*,1983,27,0,0,0,0,6,49,0,0,0,0,0,0,6,49,12.2
1828,Nevada,1983,34,1,1,0,0,2,21,2,2,0,0,4,42,6,63,9.5
1829,New Hampshire,1983,1,0,6,0,0,6,24,51,64,0,0,115,400,121,424,28.5
1830,New Jersey,1983,38,1,0,0,0,1,40,4,5,0,0,9,80,10,120,8.3
1831,New Mexico,1983,41,1,2,0,0,3,42,2,4,0,0,6,70,9,112,8
1832,New York,1983,33,4,1,0,0,5,61,15,2,0,0,17,150,22,211,10.4
1833,North Carolina,1983,18,5,0,0,0,5,50,16,3,0,0,19,120,24,170,14.1
1834,North Dakota,1983,29,2,2,0,0,4,53,7,8,0,0,15,106,19,159,11.9
1835,Ohio,1983,36,1,0,0,0,1,33,7,4,0,0,11,99,12,132,9.1
1836,Oklahoma,1983,39,1,0,0,0,1,48,7,4,0,0,11,101,12,149,8.1
1837,Oregon,1983,7,4,2,0,0,6,30,8,6,0,0,14,60,20,90,22.2
1838,Pennsylvania,1983,48,1,0,0,0,1,50,2,7,0,0,9,203,10,253,4
1839,Rhode Island,1983,26,4,1,0,0,5,50,10,4,0,0,14,100,19,150,12.7
1840,South Carolina,1983,44,2,1,0,0,3,46,9,0,0,0,9,124,12,170,7.1
1841,South Dakota,1983,20,1,2,0,0,3,35,2,9,0,0,11,70,14,105,13.3
1842,Tennessee,1983,45,1,0,0,0,1,33,3,5,0,0,8,99,9,132,6.8
1843,Texas,1983,43,0,0,0,0,0,31,9,4,0,0,13,150,13,181,7.2
1844,Utah,1983,37,0,1,0,0,1,29,3,5,0,0,8,75,9,104,8.7
1845,Vermont,1983,12,3,1,0,0,4,30,16,13,0,0,29,150,33,180,18.3
1846,Virginia,1983,35,1,1,0,0,2,40,10,1,0,0,11,100,13,140,9.3
1847,Washington,1983,11,5,3,0,0,8,49,13,7,0,0,20,98,28,147,19
1848,West Virginia,1983,24,3,0,0,0,3,34,13,1,0,0,14,100,17,134,12.7
1849,Wisconsin,1983,9,0,2,0,0,2,33,12,12,0,0,24,99,26,132,19.7
1850,Wyoming,1983,4,2,1,0,0,3,30,11,8,0,0,19,64,22,94,23.4
1851,Massachusetts,1982,1,5,0,0,0,5,40,7,7,1,0,15,160,20,200,10
1852,Alabama,1981,47,0,0,0,0,0,35,5,1,0,0,6,105,6,140,4.3
1853,Alaska,1981,28,1,0,1,0,2,20,3,1,0,0,4,40,6,60,10
1854,Arizona,1981,8,3,2,0,0,5,30,4,8,0,0,12,60,17,90,18.9
1855,Arkansas,1981,48,1,0,0,0,1,35,2,2,0,0,4,100,5,135,3.7
1856,California,1981,28,2,0,0,0,2,40,4,6,0,0,10,80,12,120,10
1857,Colorado,1981,4,2,2,0,0,4,35,9,10,0,0,19,65,23,100,23
1858,Connecticut,1981,3,6,2,0,0,8,36,14,22,0,0,36,151,44,187,23.5
1859,Deleware,1981,13,1,1,0,0,2,21,4,3,0,0,7,41,9,62,14.5
1860,Florida,1981,25,2,2,0,0,4,40,9,4,0,0,13,120,17,160,10.6
1861,Georgia,1981,39,2,0,0,0,2,56,12,3,0,0,15,180,17,236,7.2
1862,Hawaii,1981,10,1,3,0,0,4,25,6,4,0,0,10,51,14,76,18.4
1863,Idaho,1981,31,1,1,0,0,2,35,2,6,0,0,8,70,10,105,9.5
1864,Illinois,1981,14,2,2,0,0,4,59,10,18,0,0,28,177,32,236,13.6
1865,Indiana,1981,35,2,2,0,0,4,50,3,5,0,0,8,100,12,150,8
1866,Iowa,1981,17,0,2,0,0,2,50,6,10,0,0,16,100,18,150,12
1867,Kansas,1981,15,2,2,0,0,4,40,9,9,0,0,18,125,22,165,13.3
1868,Kentucky,1981,38,2,0,0,0,2,38,7,1,0,0,8,100,10,138,7.2
1869,Louisiana,1981,49,0,0,0,0,0,39,2,0,0,0,2,105,2,144,1.4
1870,Maine,1981,5,4,2,0,0,6,33,18,18,0,0,36,151,42,184,22.8
1871,Maryland,1981,12,3,0,0,0,3,47,21,4,0,0,25,141,28,188,14.9
1872,Massachusetts,1981,32,5,0,0,0,5,40,7,6,1,0,14,160,19,200,9.5
1873,Michigan,1981,24,0,0,0,0,0,38,10,6,0,0,16,110,16,148,10.8
1874,Minnesota,1981,19,3,2,0,0,5,67,13,6,0,0,19,134,24,201,11.9
1875,Mississippi,1981,50,0,0,0,0,0,52,2,0,0,0,2,122,2,174,1.1
1876,Missouri,1981,23,2,0,0,0,2,34,16,4,0,0,20,163,22,197,11.2
1877,Montana,1981,22,3,1,0,0,4,50,6,7,0,0,13,100,17,150,11.3
1878,Nebraska*,1981,27,0,0,0,0,5,49,0,0,0,0,0,0,5,49,10.2
1879,Nevada,1981,21,1,1,0,0,2,20,3,2,0,0,5,40,7,60,11.7
1880,New Hampshire,1981,1,0,3,0,0,3,24,52,69,0,0,121,400,124,424,29.2
1881,New Jersey,1981,40,1,0,0,0,1,40,3,4,0,0,7,80,8,120,6.7
1882,New Mexico,1981,44,0,2,0,0,2,42,2,3,0,0,5,70,7,112,6.3
1883,New York,1981,33,3,1,0,0,4,60,9,5,0,0,14,150,18,210,8.6
1884,North Carolina,1981,16,3,0,0,0,3,50,15,4,0,0,19,120,22,170,12.9
1885,North Dakota,1981,17,0,3,0,0,3,50,3,12,0,0,15,100,18,150,12
1886,Ohio,1981,37,1,0,0,0,1,33,3,6,0,0,9,99,10,132,7.6
1887,Oklahoma,1981,34,1,0,0,0,1,48,6,5,0,0,11,101,12,149,8.1
1888,Oregon,1981,6,1,0,0,0,1,30,12,7,0,0,19,60,20,90,22.2
1889,Pennsylvania,1981,45,1,0,0,0,1,50,2,9,0,0,11,203,12,253,4.7
1890,Rhode Island,1981,28,4,1,0,0,5,50,8,2,0,0,10,100,15,150,10
1891,South Carolina,1981,42,1,1,0,0,2,46,8,1,0,0,9,124,11,170,6.5
1892,South Dakota,1981,26,1,2,0,0,3,35,3,5,0,0,8,70,11,105,10.5
1893,Tennessee,1981,46,1,0,0,0,1,33,2,3,0,0,5,99,6,132,4.5
1894,Texas,1981,41,0,1,0,0,1,31,10,1,0,0,11,150,12,181,6.6
1895,Utah,1981,36,1,1,0,0,2,29,3,3,0,0,6,75,8,104,7.7
1896,Vermont,1981,7,3,1,0,0,4,30,20,15,0,0,35,150,39,180,21.7
1897,Virginia,1981,43,0,1,0,0,1,40,8,0,0,0,8,100,9,140,6.4
1898,Washington,1981,2,4,4,0,0,8,49,17,10,0,0,27,98,35,147,23.8
1899,West Virginia,1981,19,2,0,0,0,2,34,12,2,0,0,14,100,16,134,11.9
1900,Wisconsin,1981,11,0,2,0,0,2,33,11,7,0,0,18,99,20,132,15.2
1901,Wyoming,1981,9,2,1,0,0,3,30,6,8,0,0,14,62,17,92,18.5
